
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0141   -0.0834   0.1059   0.2184   0.1794   0.06649243
     3   0.0174   -0.1665   -0.0284   0.2642   0.3057   0.08987062
     4   0.0368   -0.1273   -0.1842   0.1545   0.4169   0.08987068
     5   0.0307   0.0154   -0.2415   -0.0704   0.4404   0.08987091
     6   0.0191   0.1227   -0.1679   -0.2841   0.3486   0.08987119
     7   0.0129   0.1435   -0.0295   -0.3845   0.1757   0.08987124
     8   0.0090   0.1005   0.0954   -0.3479   -0.0126   0.08987128
     9   0.0054   0.0328   0.1620   -0.2135   -0.1557   0.08987131
    10   -0.0033   -0.0266   0.1628   -0.0461   -0.2206   0.08987142
    11   -0.0101   -0.0678   0.1121   0.0948   -0.2063   0.08987163
    12   -0.0132   -0.0790   0.0351   0.1692   -0.1371   0.08987174
    13   -0.0144   -0.0600   -0.0368   0.1668   -0.0500   0.08987195
    14   -0.0135   -0.0251   -0.0801   0.1054   0.0198   0.08987229
    15   -0.0095   0.0105   -0.0866   0.0190   0.0512   0.08987262
    16   -0.0039   0.0377   -0.0606   -0.0569   0.0406   0.08987267
    17   -0.0017   0.0496   -0.0145   -0.0954   0.0006   0.09106454
    18   -0.0024   0.0388   0.0316   -0.0859   -0.0467   0.09106457
    19   -0.0035   0.0112   0.0572   -0.0391   -0.0790   0.09106461
    20   -0.0036   -0.0167   0.0537   0.0187   -0.0840   0.09106467
    21   -0.0038   -0.0309   0.0285   0.0609   -0.0630   0.09106471
    22   -0.0042   -0.0292   -0.0028   0.0736   -0.0281   0.09106490
    23   -0.0042   -0.0173   -0.0267   0.0578   0.0058   0.09106497
    24   -0.0028   -0.0022   -0.0363   0.0251   0.0269   0.09106518
    25   -0.0012   0.0112   -0.0313   -0.0099   0.0305   0.09106541
    26   -0.0005   0.0185   -0.0155   -0.0339   0.0189   0.09106544
    27   -0.0002   0.0170   0.0030   -0.0400   -0.0004   0.09106548
    28   -0.0007   0.0093   0.0165   -0.0296   -0.0183   0.09106551
    29   -0.0015   -0.0006   0.0207   -0.0102   -0.0285   0.09106575
    30   -0.0023   -0.0085   0.0156   0.0086   -0.0287   0.09106579
    31   -0.0030   -0.0113   0.0052   0.0192   -0.0213   0.09106615
    32   -0.0036   -0.0090   -0.0054   0.0189   -0.0113   0.09106640
    33   -0.0035   -0.0038   -0.0120   0.0098   -0.0038   0.09106647
    34   -0.0008   0.0024   -0.0126   -0.0030   -0.0021   0.09108867
    35   -0.0009   0.0100   -0.0059   -0.0128   -0.0063   0.09118966
    36   -0.0011   0.0098   0.0046   -0.0134   -0.0133   0.09118969
    37   -0.0014   0.0036   0.0116   -0.0048   -0.0182   0.09118992
    38   -0.0008   -0.0040   0.0113   0.0073   -0.0175   0.09119012
    39   -0.0006   -0.0074   0.0053   0.0160   -0.0115   0.09119016
    40   -0.0005   -0.0066   -0.0019   0.0176   -0.0028   0.09119041
    41   -0.0004   -0.0035   -0.0071   0.0129   0.0051   0.09119067
    42   -0.0000   0.0001   -0.0087   0.0047   0.0095   0.09119101
    43   0.0003   0.0032   -0.0069   -0.0034   0.0098   0.09119137
    44   0.0006   0.0045   -0.0028   -0.0083   0.0067   0.09119171
    45   0.0007   0.0038   0.0015   -0.0089   0.0022   0.09119201
    46   0.0007   0.0019   0.0045   -0.0058   -0.0016   0.09119245
    47   0.0005   -0.0005   0.0052   -0.0007   -0.0033   0.09119270
    48   0.0005   -0.0023   0.0037   0.0038   -0.0024   0.09119305
    49   0.0004   -0.0028   0.0011   0.0063   0.0002   0.09119312
    50   0.0004   -0.0021   -0.0015   0.0060   0.0034   0.09119318
    51   0.0005   -0.0008   -0.0030   0.0037   0.0059   0.09119323
    52   0.0006   0.0005   -0.0031   0.0005   0.0069   0.09119327
    53   0.0006   0.0013   -0.0021   -0.0022   0.0065   0.09119342
    54   0.0006   0.0015   -0.0007   -0.0036   0.0050   0.09119366
    55   0.0004   0.0010   0.0006   -0.0036   0.0031   0.09119393
    56   0.0003   0.0002   0.0012   -0.0026   0.0016   0.09119489
    57   0.0002   -0.0004   0.0010   -0.0014   0.0006   0.09119579
    58   0.0001   -0.0005   0.0005   -0.0006   0.0001   0.09119612
    59   0.0001   -0.0003   0.0001   -0.0004   -0.0002   0.09119631
    60   -0.0001   0.0000   -0.0000   -0.0004   -0.0004   0.09119650
    61   -0.0001   0.0001   0.0000   -0.0004   -0.0005   0.09119669
    62   -0.0001   0.0001   0.0001   -0.0003   -0.0007   0.09119688
