
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0145   -0.1195   0.0737   0.2243   0.1822   0.06195804
     3   0.0211   -0.1583   -0.2433   0.1462   0.2884   0.06195807
     4   -0.0094   0.0221   -0.4024   -0.2074   0.2799   0.06195810
     5   -0.0054   0.1811   -0.1907   -0.5309   0.0865   0.09871109
     6   -0.0012   0.2151   0.2386   -0.5128   -0.1927   0.09871113
     7   0.0220   0.0600   0.5419   -0.0963   -0.3578   0.09871144
     8   0.0086   -0.1441   0.4604   0.4394   -0.2686   0.11864364
     9   0.0051   -0.2832   0.0002   0.6934   0.0340   0.15265621
    10   -0.0178   -0.1881   -0.5135   0.4207   0.3343   0.15265646
    11   -0.0283   0.0562   -0.6649   -0.2099   0.3935   0.15265680
    12   -0.0099   0.2784   -0.3105   -0.7353   0.1423   0.23419673
    13   -0.0008   0.3158   0.3344   -0.7298   -0.2513   0.23419676
    14   0.0354   0.0810   0.7709   -0.1374   -0.4866   0.23419682
    15   0.0131   -0.2089   0.6450   0.6196   -0.3608   0.28063697
    16   0.0075   -0.4028   -0.0151   0.9676   0.0639   0.34170576
    17   -0.0258   -0.2590   -0.7372   0.5671   0.4781   0.34170588
    18   -0.0387   0.0906   -0.9320   -0.3266   0.5466   0.34170623
    19   -0.0139   0.4017   -0.4093   -1.0500   0.1804   0.50700590
    20   0.0006   0.4391   0.5040   -1.0091   -0.3731   0.50700622
    21   0.0511   0.0984   1.0961   -0.1515   -0.6883   0.50700629
    22   0.0184   -0.3090   0.8858   0.9084   -0.4903   0.61133155
    23   0.0101   -0.5696   -0.0628   1.3642   0.1179   0.71656687
    24   -0.0382   -0.3511   -1.0678   0.7620   0.6921   0.71656722
    25   -0.0515   0.1460   -1.3079   -0.5101   0.7653   0.71656755
    26   -0.0192   0.5810   -0.5345   -1.5050   0.2289   1.05164683
    27   0.0041   0.6097   0.7590   -1.3978   -0.5515   1.05164712
    28   0.0737   0.1160   1.5596   -0.1550   -0.9737   1.05164736
    29   0.0260   -0.4565   1.2159   1.3297   -0.6657   1.28444264
    30   0.0136   -0.8055   -0.1474   1.9234   0.2052   1.46050000
    31   -0.0564   -0.4747   -1.5456   1.0210   1.0006   1.46050031
    32   -0.0677   0.2317   -1.8349   -0.7888   1.0711   1.46050072
    33   -0.0266   0.8404   -0.6919   -2.1554   0.2868   2.13636778
    34   0.0109   0.8451   1.1398   -1.9325   -0.8128   2.13636815
    35   0.1062   0.1302   2.2175   -0.1329   -1.3749   2.13636867
    36   0.0367   -0.6740   1.6637   1.9439   -0.8990   2.65301367
    37   0.0181   -1.1378   -0.2947   2.7073   0.3466   2.93080233
    38   -0.0833   -0.6381   -2.2356   1.3577   1.4451   2.93080312
    39   -0.0859   0.3651   -2.5689   -1.2144   1.4953   2.93080354
    40   -0.0366   1.2170   -0.8784   -3.0826   0.3498   4.28093501
    41   0.0240   1.1656   1.7117   -2.6575   -1.1949   4.28093534
    42   0.1526   0.1307   3.1467   -0.0532   -1.9336   4.28093589
    43   0.0518   -0.9962   2.2579   2.8399   -1.1996   5.42603340
    44   0.0237   -1.6024   -0.5528   3.7956   0.5781   5.80859756
    45   -0.1228   -0.8463   -3.2309   1.7760   2.0846   5.80859783
    46   -0.0979   0.5749   -3.5792   -1.8696   2.0763   5.80859831
    47   -0.0498   1.7699   -1.0660   -4.3950   0.4041   8.43582226
    48   0.0511   1.5872   2.5847   -3.6051   -1.7505   8.43582254
    49   0.2187   0.0873   4.4431   0.1627   -2.6901   8.43582266
    50   0.0728   -1.4804   3.0000   4.1498   -1.5514   10.99480017
    51   0.0300   -2.2391   -1.0268   5.2656   0.9728   11.29169119
    52   -0.1814   -1.0839   -4.6647   2.2246   2.9996   11.29169227
    53   -0.0901   0.9177   -4.9224   -2.9078   2.8403   11.70385873
    54   -0.0666   2.5792   -1.1592   -6.2308   0.3966   16.33423963
    55   0.1064   2.1082   3.9404   -4.7608   -2.5672   16.33424097
    56   0.3081   -0.0651   6.2180   0.6863   -3.6828   16.33424231
    57   0.1016   -2.2206   3.8274   6.0742   -1.8922   22.07783046
    58   0.0540   -3.0837   -1.9227   7.1737   1.6631   22.07783231
    59   -0.2748   -1.2704   -6.6924   2.5593   4.2986   22.07783344
    60   -0.1227   1.4670   -6.5913   -4.5460   3.7985   23.88134269
    61   -0.0849   3.6223   -1.1116   -8.7634   0.2396   31.85471961
    62   0.1751   2.7787   5.8563   -6.2488   -3.8085   31.85472069
