
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0140   -0.0746   0.1101   0.1599   0.1648   0.05183033
     3   0.0163   -0.1560   -0.0133   0.1875   0.2542   0.06409318
     4   0.0283   -0.1342   -0.1660   0.1418   0.3398   0.06409323
     5   0.0214   -0.0288   -0.2495   0.0335   0.3853   0.06409329
     6   0.0148   0.0590   -0.2322   -0.0906   0.3706   0.06409336
     7   0.0148   0.0982   -0.1502   -0.1879   0.2993   0.06409341
     8   0.0162   0.1001   -0.0483   -0.2376   0.1908   0.06409357
     9   0.0150   0.0798   0.0430   -0.2381   0.0699   0.06409380
    10   0.0101   0.0485   0.1072   -0.1992   -0.0407   0.06409383
    11   0.0043   0.0148   0.1377   -0.1366   -0.1253   0.06409387
    12   -0.0004   -0.0122   0.1373   -0.0667   -0.1761   0.06409392
    13   -0.0052   -0.0269   0.1160   -0.0028   -0.1930   0.06409395
    14   -0.0091   -0.0332   0.0847   0.0477   -0.1811   0.06409399
    15   -0.0103   -0.0346   0.0499   0.0814   -0.1481   0.06409402
    16   -0.0088   -0.0311   0.0167   0.0979   -0.1026   0.06409413
    17   -0.0034   -0.0234   -0.0104   0.0991   -0.0528   0.06409813
    18   -0.0023   -0.0107   -0.0266   0.0893   -0.0053   0.06457826
    19   -0.0007   -0.0065   -0.0344   0.0739   0.0356   0.06521819
    20   0.0009   -0.0067   -0.0405   0.0552   0.0680   0.06565349
    21   0.0020   -0.0063   -0.0470   0.0333   0.0903   0.06567391
    22   0.0047   -0.0027   -0.0517   0.0085   0.1008   0.06567395
    23   0.0049   0.0073   -0.0493   -0.0172   0.0986   0.06567400
    24   0.0044   0.0153   -0.0377   -0.0393   0.0842   0.06567424
    25   0.0036   0.0187   -0.0204   -0.0540   0.0606   0.06567428
    26   0.0017   0.0176   -0.0021   -0.0596   0.0318   0.06567434
    27   0.0010   0.0125   0.0128   -0.0567   0.0024   0.06586470
    28   0.0002   0.0082   0.0229   -0.0476   -0.0239   0.06608287
    29   -0.0005   0.0052   0.0294   -0.0344   -0.0445   0.06620459
    30   -0.0016   0.0023   0.0331   -0.0186   -0.0578   0.06620462
    31   -0.0026   -0.0018   0.0333   -0.0019   -0.0629   0.06620468
    32   -0.0029   -0.0066   0.0289   0.0139   -0.0599   0.06620471
    33   -0.0028   -0.0101   0.0204   0.0263   -0.0496   0.06620477
    34   -0.0022   -0.0111   0.0097   0.0339   -0.0343   0.06620481
    35   -0.0009   -0.0098   -0.0008   0.0360   -0.0166   0.06622223
    36   -0.0006   -0.0065   -0.0089   0.0335   0.0009   0.06629580
    37   -0.0001   -0.0044   -0.0142   0.0276   0.0163   0.06637663
    38   0.0004   -0.0030   -0.0178   0.0196   0.0282   0.06641648
    39   0.0011   -0.0013   -0.0199   0.0101   0.0356   0.06641652
    40   0.0017   0.0013   -0.0199   0.0000   0.0381   0.06641655
    41   0.0018   0.0042   -0.0171   -0.0093   0.0358   0.06641660
    42   0.0017   0.0062   -0.0117   -0.0166   0.0292   0.06641685
    43   0.0013   0.0067   -0.0052   -0.0208   0.0197   0.06641688
    44   0.0006   0.0058   0.0011   -0.0218   0.0089   0.06642704
    45   0.0003   0.0039   0.0059   -0.0200   -0.0017   0.06645512
    46   0.0000   0.0026   0.0090   -0.0162   -0.0108   0.06648315
    47   -0.0003   0.0016   0.0110   -0.0112   -0.0177   0.06649496
    48   -0.0007   0.0006   0.0121   -0.0053   -0.0218   0.06649499
    49   -0.0010   -0.0010   0.0119   0.0007   -0.0230   0.06649502
    50   -0.0011   -0.0028   0.0099   0.0063   -0.0212   0.06649505
    51   -0.0010   -0.0038   0.0066   0.0104   -0.0170   0.06649535
    52   -0.0007   -0.0040   0.0026   0.0127   -0.0111   0.06649538
    53   -0.0003   -0.0034   -0.0011   0.0131   -0.0046   0.06650054
    54   -0.0002   -0.0022   -0.0038   0.0118   0.0017   0.06651099
    55   0.0000   -0.0015   -0.0056   0.0094   0.0071   0.06652049
    56   0.0002   -0.0009   -0.0068   0.0063   0.0110   0.06652380
    57   0.0005   -0.0002   -0.0073   0.0027   0.0133   0.06652385
    58   0.0006   0.0008   -0.0070   -0.0009   0.0137   0.06652388
    59   0.0006   0.0018   -0.0057   -0.0041   0.0124   0.06652396
    60   0.0006   0.0023   -0.0036   -0.0065   0.0097   0.06652401
    61   0.0004   0.0024   -0.0013   -0.0077   0.0062   0.06652404
    62   0.0002   0.0019   0.0009   -0.0078   0.0023   0.06652639
