
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.1248   0.0660   0.2214   0.1819   0.05996556
     3   0.0194   -0.1537   -0.2538   0.1325   0.2840   0.05996560
     4   -0.0106   0.0351   -0.3940   -0.2235   0.2673   0.05996566
     5   -0.0052   0.1878   -0.1593   -0.5262   0.0700   0.09274119
     6   0.0016   0.2032   0.2663   -0.4754   -0.1985   0.09274122
     7   0.0241   0.0367   0.5322   -0.0480   -0.3406   0.09274152
     8   0.0084   -0.1596   0.4076   0.4551   -0.2336   0.11698378
     9   0.0038   -0.2721   -0.0599   0.6481   0.0620   0.13417121
    10   -0.0216   -0.1510   -0.5227   0.3363   0.3277   0.13417146
    11   -0.0217   0.0866   -0.6010   -0.2658   0.3486   0.13417149
    12   -0.0083   0.2838   -0.2037   -0.7017   0.0900   0.20163354
    13   0.0075   0.2651   0.3946   -0.6031   -0.2616   0.20163377
    14   0.0367   0.0211   0.7120   -0.0085   -0.4279   0.20163400
    15   0.0118   -0.2339   0.4913   0.6364   -0.2617   0.25925987
    16   0.0044   -0.3568   -0.1503   0.8278   0.1315   0.26747530
    17   -0.0310   -0.1678   -0.7253   0.3580   0.4524   0.26747578
    18   -0.0145   0.1482   -0.7580   -0.4372   0.4340   0.27667014
    19   -0.0099   0.4011   -0.1639   -0.9411   0.0643   0.37555952
    20   0.0203   0.3108   0.6126   -0.7015   -0.3792   0.37555960
    21   0.0479   -0.0291   0.9277   0.1262   -0.5365   0.37555999
    22   0.0151   -0.3486   0.5288   0.9086   -0.2610   0.50220549
    23   0.0057   -0.4477   -0.3379   1.0210   0.2581   0.50220553
    24   -0.0467   -0.1490   -0.9933   0.3048   0.6174   0.50220607
    25   -0.0181   0.2472   -0.9024   -0.7101   0.5123   0.55546655
    26   -0.0106   0.5276   -0.0635   -1.2408   -0.0109   0.67802288
    27   0.0340   0.3546   0.9001   -0.7932   -0.5602   0.67802358
    28   0.0553   -0.0986   1.1921   0.3297   -0.6886   0.67802406
    29   0.0182   -0.4987   0.5561   1.2716   -0.2614   0.91753653
    30   -0.0009   -0.5554   -0.5923   1.2633   0.4209   0.91753704
    31   -0.0667   -0.1241   -1.3412   0.2234   0.8244   0.91753741
    32   -0.0232   0.3822   -1.0818   -1.0739   0.6010   1.06207359
    33   -0.0115   0.6940   0.0848   -1.6254   -0.1232   1.19677563
    34   0.0520   0.4049   1.2868   -0.8907   -0.8032   1.19677585
    35   0.0602   -0.1995   1.5301   0.6202   -0.8813   1.19677619
    36   0.0219   -0.7046   0.5617   1.7517   -0.2474   1.62744826
    37   -0.0144   -0.6849   -0.9531   1.5528   0.6429   1.62744858
    38   -0.0920   -0.0760   -1.7958   0.0752   1.0857   1.62744889
    39   -0.0299   0.5740   -1.2817   -1.5737   0.6895   1.97143120
    40   -0.0121   0.9066   0.3258   -2.1083   -0.2990   2.06247201
    41   0.0766   0.4480   1.8102   -0.9627   -1.1297   2.06247225
    42   0.0369   -0.3524   1.9426   1.0493   -1.1139   2.06889526
    43   0.0259   -1.0093   0.4704   2.3673   -0.1975   2.72997439
    44   -0.0482   -0.8029   -1.5060   1.8146   0.9317   2.72997486
    45   -0.1228   0.0503   -2.3458   -0.2558   1.3571   2.72997523
    46   -0.0385   0.8627   -1.3833   -2.2581   0.6881   3.51506240
    47   -0.0164   1.1389   0.7953   -2.5991   -0.6184   3.51506270
    48   0.1152   0.4024   2.4875   -0.8329   -1.5482   3.51506336
    49   0.0459   -0.6019   2.3103   1.7361   -1.3152   3.82047857
    50   0.0276   -1.3286   0.2207   3.1250   -0.0116   4.64825960
    51   -0.0828   -0.9148   -2.2291   2.0508   1.3862   4.64826000
    52   -0.1429   0.2238   -3.0139   -0.7636   1.7415   4.64826030
    53   -0.0464   1.2393   -1.4583   -3.1719   0.6920   6.14930670
    54   -0.0018   1.4130   1.4308   -3.2155   -1.0272   6.14930708
    55   0.1660   0.3420   3.3639   -0.6368   -2.0723   6.14930779
    56   0.0587   -0.9382   2.7691   2.6466   -1.5451   7.00730290
    57   0.0301   -1.7479   -0.1421   4.0978   0.2642   7.94726747
    58   -0.1280   -1.0461   -3.1978   2.3091   1.9954   7.94726777
    59   -0.1581   0.4725   -3.8710   -1.4825   2.2310   7.94726804
    60   -0.0562   1.7530   -1.4897   -4.3801   0.6648   10.67095919
    61   0.0299   1.7463   2.3248   -3.9618   -1.5823   10.67096187
    62   0.2303   0.2304   4.5119   -0.2867   -2.7373   10.67096198
