
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.0942   0.1001   0.2165   0.1791   0.06476329
     3   0.0171   -0.1771   -0.0461   0.2504   0.3020   0.08379940
     4   0.0367   -0.1258   -0.2074   0.1193   0.4013   0.08379949
     5   0.0251   0.0350   -0.2540   -0.1250   0.4018   0.08379973
     6   0.0107   0.1457   -0.1586   -0.3406   0.2814   0.08379980
     7   0.0049   0.1593   -0.0005   -0.4212   0.0843   0.08379985
     8   0.0025   0.1062   0.1355   -0.3492   -0.1140   0.08379988
     9   -0.0033   0.0277   0.2027   -0.1736   -0.2475   0.08379992
    10   -0.0107   -0.0478   0.1901   0.0291   -0.2830   0.08379999
    11   -0.0134   -0.0970   0.1135   0.1851   -0.2263   0.08380006
    12   -0.0140   -0.1014   0.0103   0.2474   -0.1138   0.08380010
    13   -0.0136   -0.0685   -0.0769   0.2113   0.0045   0.08380031
    14   -0.0094   -0.0194   -0.1212   0.1081   0.0862   0.08380042
    15   -0.0038   0.0296   -0.1144   -0.0138   0.1095   0.08380053
    16   -0.0015   0.0619   -0.0657   -0.1065   0.0774   0.08380066
    17   -0.0006   0.0633   -0.0003   -0.1396   0.0131   0.08380089
    18   -0.0017   0.0395   0.0527   -0.1114   -0.0519   0.08380112
    19   -0.0045   0.0043   0.0746   -0.0448   -0.0919   0.08380127
    20   -0.0072   -0.0271   0.0617   0.0259   -0.0960   0.08380143
    21   -0.0093   -0.0416   0.0252   0.0706   -0.0704   0.08380166
    22   -0.0103   -0.0363   -0.0156   0.0749   -0.0323   0.08380186
    23   -0.0106   -0.0166   -0.0429   0.0440   -0.0014   0.08380189
    24   -0.0106   0.0063   -0.0478   -0.0033   0.0090   0.08380194
    25   -0.0079   0.0223   -0.0327   -0.0449   -0.0037   0.08380199
    26   -0.0023   0.0303   -0.0051   -0.0644   -0.0322   0.08424743
    27   -0.0034   0.0308   0.0273   -0.0534   -0.0630   0.08424754
    28   -0.0057   0.0114   0.0494   -0.0134   -0.0807   0.08424765
    29   -0.0037   -0.0166   0.0464   0.0369   -0.0747   0.08424778
    30   -0.0020   -0.0305   0.0217   0.0721   -0.0464   0.08424801
    31   -0.0013   -0.0281   -0.0085   0.0785   -0.0074   0.08424804
    32   -0.0008   -0.0157   -0.0308   0.0578   0.0276   0.08424808
    33   0.0007   -0.0007   -0.0388   0.0217   0.0478   0.08424833
    34   0.0020   0.0126   -0.0322   -0.0149   0.0492   0.08424854
    35   0.0025   0.0195   -0.0153   -0.0392   0.0350   0.08424877
    36   0.0027   0.0177   0.0040   -0.0447   0.0132   0.08424881
    37   0.0025   0.0101   0.0182   -0.0330   -0.0068   0.08424915
    38   0.0015   0.0004   0.0234   -0.0114   -0.0181   0.08424943
    39   0.0008   -0.0085   0.0189   0.0105   -0.0181   0.08424967
    40   0.0005   -0.0126   0.0078   0.0242   -0.0089   0.08424969
    41   0.0005   -0.0107   -0.0043   0.0258   0.0041   0.08424993
    42   0.0009   -0.0050   -0.0124   0.0169   0.0151   0.08424998
    43   0.0014   0.0017   -0.0139   0.0032   0.0202   0.08425002
    44   0.0019   0.0066   -0.0094   -0.0088   0.0186   0.08425026
    45   0.0023   0.0078   -0.0018   -0.0145   0.0125   0.08425065
    46   0.0025   0.0057   0.0053   -0.0125   0.0054   0.08425072
    47   0.0025   0.0016   0.0090   -0.0050   0.0009   0.08425092
    48   0.0008   -0.0025   0.0085   0.0041   0.0007   0.08425095
    49   0.0006   -0.0072   0.0033   0.0104   0.0045   0.08430437
    50   0.0008   -0.0070   -0.0043   0.0099   0.0099   0.08430440
    51   0.0010   -0.0024   -0.0092   0.0028   0.0133   0.08430467
    52   0.0005   0.0033   -0.0086   -0.0065   0.0124   0.08430491
    53   0.0002   0.0058   -0.0038   -0.0130   0.0073   0.08430495
    54   0.0002   0.0052   0.0019   -0.0139   0.0003   0.08430498
    55   0.0001   0.0028   0.0060   -0.0097   -0.0057   0.08430501
    56   -0.0002   -0.0002   0.0072   -0.0029   -0.0089   0.08430525
    57   -0.0004   -0.0027   0.0056   0.0037   -0.0086   0.08430549
    58   -0.0005   -0.0038   0.0021   0.0077   -0.0057   0.08430573
    59   -0.0006   -0.0032   -0.0015   0.0080   -0.0016   0.08430608
    60   -0.0005   -0.0016   -0.0039   0.0051   0.0018   0.08430638
    61   -0.0003   0.0004   -0.0044   0.0008   0.0033   0.08430645
    62   -0.0003   0.0020   -0.0032   -0.0031   0.0026   0.08430651
