
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.0738   0.1249   0.2420   0.1845   0.07908883
     3   0.0269   -0.1448   -0.1159   0.2585   0.3198   0.07908886
     4   0.0197   -0.0587   -0.3377   0.0172   0.3981   0.07908910
     5   0.0032   0.0761   -0.3225   -0.3357   0.3179   0.07908913
     6   0.0011   0.1495   -0.0867   -0.5527   0.0859   0.08682369
     7   0.0043   0.1389   0.2170   -0.4858   -0.1866   0.08682374
     8   0.0084   0.0506   0.4182   -0.1534   -0.3548   0.08682398
     9   0.0078   -0.0702   0.3999   0.2760   -0.3235   0.08682401
    10   0.0016   -0.1616   0.1569   0.5698   -0.1018   0.10855928
    11   0.0001   -0.1709   -0.1949   0.5524   0.1936   0.10855931
    12   -0.0069   -0.0741   -0.4552   0.2111   0.3954   0.10855962
    13   -0.0088   0.0664   -0.4661   -0.2732   0.3804   0.10855987
    14   -0.0020   0.1773   -0.2109   -0.6304   0.1437   0.13163443
    15   -0.0006   0.1990   0.1871   -0.6460   -0.1921   0.13440514
    16   0.0075   0.0971   0.5017   -0.2844   -0.4380   0.13440547
    17   0.0101   -0.0616   0.5424   0.2644   -0.4447   0.13440571
    18   0.0024   -0.1944   0.2747   0.6954   -0.1935   0.16010787
    19   0.0009   -0.2308   -0.1750   0.7514   0.1871   0.17378102
    20   -0.0081   -0.1243   -0.5521   0.3699   0.4834   0.17378125
    21   -0.0118   0.0551   -0.6287   -0.2507   0.5164   0.17378147
    22   -0.0029   0.2130   -0.3486   -0.7659   0.2505   0.19589198
    23   -0.0012   0.2668   0.1586   -0.8700   -0.1798   0.22545062
    24   0.0088   0.1558   0.6071   -0.4684   -0.5333   0.22545069
    25   0.0136   -0.0469   0.7260   0.2323   -0.5974   0.22545076
    26   0.0034   -0.2334   0.4335   0.8435   -0.3162   0.24081826
    27   0.0017   -0.3073   -0.1380   1.0037   0.1697   0.29282992
    28   -0.0095   -0.1918   -0.6676   0.5814   0.5883   0.29283005
    29   -0.0157   0.0369   -0.8356   -0.2087   0.6886   0.29283048
    30   -0.0041   0.2558   -0.5307   -0.9287   0.3914   0.29715702
    31   -0.0022   0.3529   0.1127   -1.1541   -0.1564   0.38024295
    32   0.0103   0.2329   0.7341   -0.7105   -0.6488   0.38024343
    33   0.0180   -0.0249   0.9587   0.1793   -0.7910   0.38024350
    34   0.0100   -0.2803   0.6414   1.0224   -0.4773   0.38024355
    35   0.0027   -0.3977   -0.0740   1.3260   0.1399   0.50070603
    36   -0.0089   -0.2831   -0.7961   0.8716   0.7198   0.50070609
    37   -0.0182   0.0036   -1.0969   -0.1232   0.9196   0.50070645
    38   -0.0147   0.3021   -0.7798   -1.1119   0.5975   0.50070671
    39   -0.0030   0.4476   0.0098   -1.5215   -0.0941   0.65015515
    40   0.0084   0.3436   0.8484   -1.0749   -0.7785   0.65015543
    41   0.0192   0.0291   1.2482   0.0264   -1.0575   0.65015567
    42   0.0185   -0.3183   0.9494   1.1837   -0.7425   0.65015620
    43   0.0035   -0.5037   0.0847   1.7321   0.0229   0.83576308
    44   -0.0078   -0.4156   -0.8892   1.3150   0.8257   0.83576379
    45   -0.0211   -0.0724   -1.4113   0.1069   1.2032   0.83576410
    46   -0.0225   0.3293   -1.1476   -1.2403   0.9088   0.83576440
    47   -0.0043   0.5647   -0.2080   -1.9578   0.0698   1.06815695
    48   0.0066   0.4993   0.9188   -1.5914   -0.8650   1.06815723
    49   0.0235   0.1263   1.5866   -0.2759   -1.3600   1.06815758
    50   0.0268   -0.3353   1.3748   1.2826   -1.0995   1.06815780
    51   0.0052   -0.6302   0.3610   2.2003   -0.1861   1.35672697
    52   -0.0046   -0.5948   -0.9358   1.9070   0.8953   1.35672729
    53   -0.0262   -0.1917   -1.7740   0.4842   1.5285   1.35672748
    54   -0.0315   0.3352   -1.6326   -1.3079   1.3167   1.35672772
    55   -0.0064   0.6997   -0.5469   -2.4591   0.3293   1.71207741
    56   0.0020   0.7029   0.9373   -2.2646   -0.9142   1.71207769
    57   0.0293   0.2700   1.9726   -0.7367   -1.7082   1.71207831
    58   0.0365   -0.3279   1.9231   1.3119   -1.5624   1.71207875
    59   0.0077   -0.7728   0.7696   2.7333   -0.5026   2.14570567
    60   0.0012   -0.8241   -0.9198   2.6669   0.9186   2.14570592
    61   -0.0325   -0.3629   -2.1815   1.0386   1.8982   2.14570739
    62   -0.0419   0.3120   -2.2485   -1.2901   1.8383   2.14570779
