
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0152   -0.1272   0.0819   0.2102   0.1783   0.06127163
     3   0.0162   -0.2041   -0.0983   0.2085   0.2906   0.07076098
     4   0.0293   -0.1064   -0.2662   0.0179   0.3543   0.07076122
     5   0.0019   0.1024   -0.2688   -0.2672   0.2921   0.07076125
     6   -0.0034   0.2128   -0.1044   -0.4632   0.1026   0.07349375
     7   -0.0047   0.2123   0.1173   -0.4567   -0.1367   0.08564902
     8   -0.0109   0.1101   0.2853   -0.2468   -0.3196   0.08564906
     9   -0.0074   -0.0485   0.3164   0.0674   -0.3657   0.08564929
    10   -0.0000   -0.1687   0.2025   0.3369   -0.2599   0.08564952
    11   0.0020   -0.1978   0.0123   0.4467   -0.0560   0.08564959
    12   0.0031   -0.1447   -0.1646   0.3661   0.1546   0.08564962
    13   0.0070   -0.0400   -0.2593   0.1454   0.2865   0.08564966
    14   0.0074   0.0755   -0.2397   -0.1138   0.2935   0.08565011
    15   0.0036   0.1484   -0.1227   -0.3011   0.1849   0.08565015
    16   0.0022   0.1488   0.0313   -0.3468   0.0165   0.08565052
    17   -0.0005   0.0914   0.1550   -0.2489   -0.1377   0.08565075
    18   -0.0054   0.0031   0.2027   -0.0626   -0.2175   0.08565079
    19   -0.0063   -0.0809   0.1610   0.1263   -0.1998   0.08565084
    20   -0.0045   -0.1198   0.0560   0.2380   -0.1043   0.08565126
    21   -0.0034   -0.1011   -0.0585   0.2352   0.0188   0.08565150
    22   -0.0004   -0.0438   -0.1328   0.1348   0.1144   0.08565193
    23   0.0011   0.0255   -0.1411   -0.0080   0.1464   0.08565197
    24   0.0016   0.0742   -0.0883   -0.1268   0.1105   0.08565201
    25   0.0010   0.0844   -0.0056   -0.1746   0.0316   0.08565225
    26   -0.0002   0.0573   0.0677   -0.1413   -0.0504   0.08565268
    27   -0.0015   0.0097   0.1017   -0.0526   -0.1003   0.08565273
    28   -0.0023   -0.0352   0.0876   0.0458   -0.1014   0.08565277
    29   -0.0022   -0.0587   0.0383   0.1107   -0.0602   0.08565320
    30   -0.0015   -0.0539   -0.0202   0.1193   -0.0003   0.08565363
    31   -0.0005   -0.0269   -0.0617   0.0760   0.0503   0.08565407
    32   0.0003   0.0077   -0.0711   0.0067   0.0714   0.08565411
    33   0.0006   0.0340   -0.0489   -0.0555   0.0583   0.08565416
    34   0.0004   0.0421   -0.0091   -0.0851   0.0214   0.08565459
    35   -0.0002   0.0312   0.0289   -0.0743   -0.0200   0.08565502
    36   -0.0008   0.0085   0.0491   -0.0334   -0.0478   0.08565507
    37   -0.0012   -0.0145   0.0456   0.0159   -0.0520   0.08565511
    38   -0.0013   -0.0281   0.0232   0.0514   -0.0342   0.08565554
    39   -0.0010   -0.0277   -0.0059   0.0600   -0.0052   0.08565598
    40   -0.0005   -0.0157   -0.0282   0.0419   0.0213   0.08565641
    41   -0.0000   0.0013   -0.0354   0.0087   0.0342   0.08565684
    42   0.0002   0.0153   -0.0265   -0.0235   0.0302   0.08565728
    43   0.0001   0.0208   -0.0076   -0.0410   0.0132   0.08565771
    44   -0.0002   0.0167   0.0118   -0.0385   -0.0075   0.08565814
    45   -0.0005   0.0060   0.0234   -0.0200   -0.0226   0.08565858
    46   -0.0007   -0.0056   0.0234   0.0044   -0.0265   0.08565901
    47   -0.0008   -0.0132   0.0135   0.0235   -0.0191   0.08565944
    48   -0.0006   -0.0141   -0.0008   0.0299   -0.0052   0.08565988
    49   -0.0004   -0.0089   -0.0127   0.0227   0.0085   0.08566031
    50   -0.0002   -0.0006   -0.0175   0.0069   0.0161   0.08566075
    51   -0.0000   0.0067   -0.0141   -0.0095   0.0153   0.08566118
    52   -0.0000   0.0102   -0.0053   -0.0195   0.0077   0.08566161
    53   -0.0002   0.0088   0.0045   -0.0198   -0.0025   0.08566205
    54   -0.0003   0.0039   0.0110   -0.0116   -0.0106   0.08566248
    55   -0.0004   -0.0020   0.0119   0.0004   -0.0135   0.08566291
    56   -0.0005   -0.0062   0.0076   0.0105   -0.0106   0.08566335
    57   -0.0004   -0.0071   0.0007   0.0147   -0.0040   0.08566378
    58   -0.0003   -0.0049   -0.0055   0.0121   0.0030   0.08566421
    59   -0.0002   -0.0009   -0.0085   0.0047   0.0073   0.08566465
    60   -0.0001   0.0029   -0.0074   -0.0036   0.0076   0.08566508
    61   -0.0001   0.0049   -0.0034   -0.0091   0.0042   0.08566551
    62   -0.0001   0.0046   0.0016   -0.0100   -0.0007   0.08566595
