
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0137   -0.0677   0.1142   0.2213   0.1797   0.06952899
     3   0.0176   -0.1484   -0.0017   0.2843   0.3110   0.10086612
     4   0.0326   -0.1241   -0.1454   0.2087   0.4403   0.10086614
     5   0.0360   -0.0129   -0.2154   0.0189   0.5001   0.10086618
     6   0.0290   0.0887   -0.1736   -0.1842   0.4571   0.10086648
     7   0.0238   0.1190   -0.0647   -0.3058   0.3300   0.10086655
     8   0.0158   0.0890   0.0422   -0.3146   0.1704   0.10086657
     9   0.0082   0.0287   0.1004   -0.2382   0.0298   0.10327198
    10   0.0048   -0.0225   0.1003   -0.1336   -0.0631   0.10441589
    11   0.0012   -0.0385   0.0663   -0.0490   -0.1073   0.10441593
    12   -0.0067   -0.0274   0.0312   -0.0012   -0.1184   0.10441599
    13   -0.0094   -0.0149   0.0091   0.0179   -0.1133   0.10441604
    14   -0.0051   -0.0032   0.0001   0.0215   -0.1030   0.10476292
    15   -0.0078   0.0102   0.0047   0.0228   -0.0922   0.10476296
    16   -0.0065   0.0050   0.0132   0.0322   -0.0788   0.10476299
    17   -0.0042   -0.0046   0.0137   0.0464   -0.0592   0.10476305
    18   -0.0017   -0.0109   0.0058   0.0567   -0.0331   0.10496256
    19   -0.0008   -0.0107   -0.0051   0.0571   -0.0042   0.10528032
    20   0.0001   -0.0079   -0.0144   0.0471   0.0223   0.10552904
    21   0.0008   -0.0034   -0.0200   0.0295   0.0417   0.10554868
    22   0.0028   0.0012   -0.0210   0.0086   0.0512   0.10554873
    23   0.0033   0.0070   -0.0165   -0.0107   0.0505   0.10554876
    24   0.0030   0.0092   -0.0080   -0.0231   0.0417   0.10554881
    25   0.0020   0.0072   0.0004   -0.0268   0.0289   0.10554884
    26   0.0013   0.0025   0.0052   -0.0236   0.0161   0.10557591
    27   0.0009   -0.0011   0.0056   -0.0180   0.0056   0.10559540
    28   0.0004   -0.0017   0.0039   -0.0132   -0.0021   0.10560989
    29   -0.0001   -0.0005   0.0027   -0.0100   -0.0078   0.10562479
    30   -0.0004   0.0009   0.0029   -0.0073   -0.0122   0.10563779
    31   -0.0008   0.0012   0.0040   -0.0040   -0.0150   0.10563782
    32   -0.0011   0.0002   0.0048   0.0005   -0.0159   0.10563792
    33   -0.0010   -0.0016   0.0040   0.0051   -0.0145   0.10563796
    34   -0.0007   -0.0023   0.0020   0.0081   -0.0111   0.10563799
    35   -0.0004   -0.0019   -0.0002   0.0090   -0.0068   0.10564048
    36   -0.0003   -0.0009   -0.0016   0.0081   -0.0024   0.10564407
    37   -0.0002   -0.0002   -0.0021   0.0062   0.0012   0.10564779
    38   0.0000   0.0001   -0.0021   0.0041   0.0038   0.10564956
    39   0.0002   0.0002   -0.0020   0.0021   0.0053   0.10564980
    40   0.0004   0.0003   -0.0017   0.0002   0.0058   0.10564985
    41   0.0004   0.0005   -0.0013   -0.0013   0.0056   0.10564990
    42   0.0003   0.0006   -0.0007   -0.0023   0.0046   0.10565019
    43   0.0003   0.0005   -0.0001   -0.0027   0.0034   0.10565059
    44   0.0002   0.0003   0.0002   -0.0026   0.0020   0.10565126
    45   0.0002   0.0002   0.0004   -0.0023   0.0008   0.10565198
    46   0.0001   0.0001   0.0006   -0.0018   -0.0002   0.10565256
    47   -0.0000   0.0001   0.0007   -0.0012   -0.0010   0.10565276
    48   -0.0001   -0.0001   0.0006   -0.0005   -0.0014   0.10565296
    49   -0.0001   -0.0002   0.0005   0.0001   -0.0015   0.10565315
    50   -0.0001   -0.0003   0.0002   0.0004   -0.0014   0.10565334
    51   -0.0001   -0.0002   -0.0000   0.0005   -0.0011   0.10565353
    52   -0.0001   -0.0001   -0.0002   0.0004   -0.0009   0.10565383
    53   -0.0001   0.0001   -0.0002   0.0002   -0.0008   0.10565418
    54   -0.0001   0.0001   -0.0001   0.0000   -0.0007   0.10565451
    55   -0.0001   0.0001   -0.0000   0.0000   -0.0007   0.10565479
    56   -0.0001   0.0000   0.0000   0.0000   -0.0007   0.10565502
    57   -0.0001   -0.0000   0.0000   0.0001   -0.0007   0.10565522
    58   -0.0001   0.0000   0.0000   0.0001   -0.0007   0.10565541
    59   -0.0001   -0.0000   0.0000   0.0001   -0.0006   0.10565560
    60   -0.0001   -0.0000   0.0000   0.0002   -0.0005   0.10565579
    61   -0.0001   -0.0001   -0.0001   0.0002   -0.0004   0.10565598
    62   -0.0001   0.0000   -0.0001   0.0001   -0.0004   0.10565617
