
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
    88   0.0017   0.0002   -0.0002   -0.0001   0.0061   0.07361173
    89   0.0017   0.0002   0.0000   -0.0002   0.0060   0.07361208
    90   0.0017   0.0001   0.0002   -0.0001   0.0059   0.07361242
    91   0.0017   0.0000   0.0002   0.0001   0.0059   0.07361277
    92   0.0018   -0.0001   0.0002   0.0003   0.0060   0.07361311
    93   0.0018   -0.0001   0.0001   0.0005   0.0062   0.07361346
    94   0.0018   -0.0001   -0.0001   0.0005   0.0065   0.07361380
    95   0.0019   -0.0001   -0.0001   0.0004   0.0067   0.07361415
    96   0.0019   0.0000   -0.0002   0.0002   0.0068   0.07361449
    97   0.0019   0.0001   -0.0001   0.0001   0.0069   0.07361483
    98   0.0020   0.0001   -0.0000   0.0000   0.0069   0.07361518
    99   0.0020   0.0001   0.0001   0.0001   0.0070   0.07361552
   100   0.0020   0.0000   0.0001   0.0002   0.0070   0.07361586
   101   0.0021   -0.0000   0.0001   0.0003   0.0072   0.07361620
   102   0.0021   -0.0001   0.0000   0.0004   0.0073   0.07361654
   103   0.0021   -0.0001   -0.0000   0.0004   0.0075   0.07361688
   104   0.0022   -0.0000   -0.0001   0.0003   0.0077   0.07361722
   105   0.0022   0.0000   -0.0001   0.0003   0.0078   0.07361755
   106   0.0022   0.0000   -0.0000   0.0002   0.0080   0.07361788
   107   0.0023   0.0000   -0.0000   0.0002   0.0080   0.07361820
   108   0.0023   0.0000   0.0000   0.0002   0.0081   0.07361853
   109   0.0024   -0.0000   0.0001   0.0002   0.0083   0.07361886
   110   0.0024   -0.0000   0.0000   0.0003   0.0084   0.07361918
   111   0.0024   -0.0000   0.0000   0.0003   0.0086   0.07361950
   112   0.0025   -0.0000   -0.0000   0.0003   0.0087   0.07361982
   113   0.0025   -0.0000   -0.0000   0.0003   0.0089   0.07362014
   114   0.0026   -0.0000   -0.0000   0.0003   0.0091   0.07362045
   115   0.0026   0.0000   -0.0000   0.0003   0.0092   0.07362077
   116   0.0027   0.0000   0.0000   0.0003   0.0093   0.07362108
   117   0.0027   0.0000   0.0000   0.0003   0.0095   0.07362140
   118   0.0027   -0.0000   0.0000   0.0003   0.0096   0.07362171
   119   0.0028   -0.0000   0.0000   0.0003   0.0098   0.07362202
   120   0.0028   -0.0000   0.0000   0.0004   0.0100   0.07362233
   121   0.0029   -0.0000   0.0000   0.0004   0.0101   0.07362264
   122   0.0029   -0.0000   -0.0000   0.0004   0.0103   0.07362294
   123   0.0030   -0.0000   -0.0000   0.0004   0.0105   0.07362325
   124   0.0030   -0.0000   -0.0000   0.0003   0.0107   0.07362355
   125   0.0031   0.0000   0.0000   0.0003   0.0109   0.07362385
   126   0.0031   -0.0000   0.0000   0.0004   0.0110   0.07362415
   127   0.0032   -0.0000   0.0000   0.0004   0.0112   0.07362444
   128   0.0032   -0.0000   0.0000   0.0004   0.0114   0.07362473
   129   0.0033   -0.0000   0.0000   0.0004   0.0116   0.07362502
   130   0.0034   -0.0000   0.0000   0.0004   0.0118   0.07362531
   131   0.0034   -0.0000   0.0000   0.0004   0.0120   0.07362559
   132   0.0035   -0.0000   -0.0000   0.0004   0.0122   0.07362586
   133   0.0035   -0.0000   0.0000   0.0004   0.0124   0.07362613
   134   0.0036   -0.0000   0.0000   0.0004   0.0126   0.07362620
   135   0.0036   -0.0000   0.0000   0.0004   0.0128   0.07362628
   136   0.0037   -0.0000   0.0000   0.0004   0.0131   0.07362635
   137   0.0038   -0.0000   0.0000   0.0004   0.0133   0.07362643
   138   0.0038   -0.0000   0.0000   0.0005   0.0135   0.07362650
   139   0.0039   -0.0000   0.0000   0.0005   0.0137   0.07362657
   140   0.0040   -0.0000   0.0000   0.0005   0.0140   0.07362664
   141   0.0040   -0.0000   0.0000   0.0005   0.0142   0.07362671
   142   0.0041   -0.0000   0.0000   0.0005   0.0144   0.07362678
   143   0.0042   -0.0000   0.0000   0.0005   0.0147   0.07362685
   144   0.0042   -0.0000   0.0000   0.0005   0.0149   0.07362692
   145   0.0043   -0.0000   0.0000   0.0005   0.0152   0.07362699
   146   0.0044   -0.0000   0.0000   0.0005   0.0154   0.07362706
   147   0.0045   -0.0000   0.0000   0.0005   0.0157   0.07362712
   148   0.0045   -0.0000   0.0000   0.0005   0.0160   0.07362719
   149   0.0046   -0.0000   0.0000   0.0005   0.0162   0.07362725
   150   0.0047   -0.0000   0.0000   0.0006   0.0165   0.07362731
   151   0.0048   -0.0000   0.0000   0.0006   0.0168   0.07362737
   152   0.0049   -0.0000   0.0000   0.0006   0.0171   0.07362743
   153   0.0049   -0.0000   0.0000   0.0006   0.0174   0.07362748
   154   0.0050   -0.0000   0.0000   0.0006   0.0176   0.07362754
   155   0.0051   -0.0000   0.0000   0.0006   0.0179   0.07362758
   156   0.0052   -0.0000   0.0000   0.0006   0.0183   0.07362763
   157   0.0053   -0.0000   0.0000   0.0006   0.0186   0.07362767
   158   0.0054   -0.0000   0.0000   0.0006   0.0189   0.07362807
   159   0.0055   -0.0000   0.0000   0.0006   0.0192   0.07362852
   160   0.0055   -0.0000   0.0000   0.0007   0.0195   0.07362889
   161   0.0056   -0.0000   0.0000   0.0007   0.0198   0.07362921
   162   0.0057   -0.0000   0.0000   0.0007   0.0202   0.07362951
   163   0.0058   -0.0000   0.0000   0.0007   0.0205   0.07362976
   164   0.0059   -0.0000   0.0000   0.0007   0.0209   0.07362998
   165   0.0060   -0.0000   0.0000   0.0007   0.0212   0.07363015
   166   0.0061   -0.0000   0.0000   0.0007   0.0216   0.07363029
   167   0.0062   -0.0000   0.0000   0.0007   0.0219   0.07363039
   168   0.0063   -0.0000   0.0000   0.0007   0.0223   0.07363052
   169   0.0064   -0.0000   0.0000   0.0008   0.0227   0.07363069
   170   0.0066   -0.0000   0.0000   0.0008   0.0231   0.07363091
   171   0.0067   -0.0000   0.0000   0.0008   0.0235   0.07363111
   172   0.0068   -0.0000   0.0000   0.0008   0.0239   0.07363131
   173   0.0069   -0.0000   0.0000   0.0008   0.0243   0.07363154
   174   0.0070   -0.0000   0.0000   0.0008   0.0247   0.07363158
   175   0.0071   -0.0000   0.0000   0.0008   0.0251   0.07363162
   176   0.0073   -0.0000   0.0000   0.0009   0.0255   0.07363192
   177   0.0074   -0.0000   0.0000   0.0009   0.0260   0.07363197
   178   0.0075   -0.0000   0.0000   0.0009   0.0264   0.07363234
   179   0.0076   -0.0000   0.0000   0.0009   0.0268   0.07363241
   180   0.0068   -0.0000   0.0000   0.0009   0.0273   0.07363255
   181   0.0049   -0.0013   -0.0007   0.0007   0.0277   0.07363279
   182   0.0026   -0.0035   -0.0035   -0.0013   0.0277   0.07363284
   183   0.0021   -0.0040   -0.0079   -0.0069   0.0258   0.07363288
   184   0.0015   0.0010   -0.0098   -0.0162   0.0201   0.07363291
   185   0.0002   0.0073   -0.0056   -0.0244   0.0098   0.07367461
   186   -0.0001   0.0092   0.0028   -0.0260   -0.0031   0.07375161
   187   -0.0005   0.0071   0.0113   -0.0187   -0.0147   0.07375164
   188   -0.0008   0.0013   0.0157   -0.0048   -0.0207   0.07375172
   189   -0.0007   -0.0054   0.0135   0.0104   -0.0192   0.07375181
   190   -0.0004   -0.0091   0.0059   0.0204   -0.0112   0.07375204
   191   -0.0002   -0.0085   -0.0032   0.0217   -0.0003   0.07375208
   192   -0.0001   -0.0047   -0.0100   0.0148   0.0091   0.07375229
   193   0.0002   0.0004   -0.0122   0.0032   0.0137   0.07375252
   194   0.0003   0.0050   -0.0094   -0.0080   0.0124   0.07375274
   195   0.0003   0.0069   -0.0031   -0.0144   0.0065   0.07375295
   196   0.0003   0.0058   0.0034   -0.0141   -0.0009   0.07375317
   197   0.0001   0.0025   0.0077   -0.0083   -0.0066   0.07375338
   198   -0.0001   -0.0014   0.0082   0.0000   -0.0087   0.07375360
   199   -0.0002   -0.0043   0.0052   0.0070   -0.0068   0.07375381
   200   -0.0002   -0.0049   0.0004   0.0099   -0.0024   0.07375402
   201   -0.0001   -0.0033   -0.0038   0.0081   0.0023   0.07375423
   202   -0.0001   -0.0005   -0.0057   0.0031   0.0052   0.07375445
   203   0.0000   0.0020   -0.0049   -0.0024   0.0053   0.07375467
   204   0.0000   0.0033   -0.0021   -0.0060   0.0031   0.07375488
   205   0.0000   0.0029   0.0011   -0.0065   -0.0001   0.07375509
   206   -0.0000   0.0014   0.0033   -0.0041   -0.0029   0.07375531
   207   -0.0001   -0.0005   0.0038   -0.0004   -0.0040   0.07375553
   208   -0.0001   -0.0018   0.0026   0.0029   -0.0033   0.07375575
   209   -0.0001   -0.0022   0.0004   0.0044   -0.0014   0.07375597
   210   -0.0001   -0.0016   -0.0015   0.0038   0.0007   0.07375619
   211   -0.0001   -0.0004   -0.0025   0.0017   0.0021   0.07375641
   212   -0.0000   0.0008   -0.0023   -0.0008   0.0023   0.07375663
   213   -0.0000   0.0014   -0.0011   -0.0026   0.0014   0.07375685
   214   -0.0000   0.0014   0.0004   -0.0030   -0.0000   0.07375708
   215   -0.0000   0.0007   0.0014   -0.0020   -0.0013   0.07375730
   216   -0.0001   -0.0001   0.0017   -0.0004   -0.0019   0.07375752
   217   -0.0001   -0.0008   0.0012   0.0012   -0.0017   0.07375774
   218   -0.0001   -0.0010   0.0003   0.0020   -0.0009   0.07375797
   219   -0.0001   -0.0008   -0.0006   0.0018   0.0001   0.07375819
   220   -0.0001   -0.0002   -0.0011   0.0009   0.0008   0.07375841
   221   -0.0001   0.0003   -0.0011   -0.0003   0.0009   0.07375864
   222   -0.0000   0.0006   -0.0006   -0.0011   0.0006   0.07375886
   223   -0.0000   0.0006   0.0001   -0.0014   -0.0001   0.07375908
