
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0148   -0.1082   0.0925   0.2138   0.1788   0.06294518
     3   0.0168   -0.1897   -0.0687   0.2326   0.2972   0.07732258
     4   0.0346   -0.1202   -0.2347   0.0750   0.3811   0.07732262
     5   0.0159   0.0623   -0.2646   -0.1900   0.3537   0.07732286
     6   0.0006   0.1749   -0.1404   -0.4020   0.2004   0.07732291
     7   -0.0010   0.1797   0.0433   -0.4509   -0.0205   0.07985852
     8   -0.0045   0.1142   0.1947   -0.3264   -0.2212   0.07985856
     9   -0.0100   0.0102   0.2576   -0.0916   -0.3283   0.07985889
    10   -0.0110   -0.0900   0.2145   0.1529   -0.3112   0.07985924
    11   -0.0088   -0.1408   0.0941   0.3114   -0.1900   0.07985954
    12   -0.0073   -0.1279   -0.0447   0.3350   -0.0226   0.07985960
    13   -0.0041   -0.0712   -0.1465   0.2346   0.1241   0.07985968
    14   0.0029   0.0028   -0.1803   0.0650   0.2004   0.07985996
    15   0.0066   0.0696   -0.1410   -0.1012   0.1897   0.07986026
    16   0.0073   0.0994   -0.0523   -0.2004   0.1105   0.07986034
    17   0.0075   0.0841   0.0428   -0.2039   0.0054   0.07986041
    18   0.0042   0.0390   0.1059   -0.1258   -0.0796   0.07986048
    19   0.0012   -0.0165   0.1163   -0.0100   -0.1140   0.07986055
    20   -0.0006   -0.0566   0.0772   0.0901   -0.0923   0.07986062
    21   -0.0010   -0.0664   0.0127   0.1358   -0.0331   0.07986069
    22   -0.0001   -0.0469   -0.0459   0.1175   0.0326   0.07986076
    23   0.0016   -0.0112   -0.0754   0.0539   0.0767   0.07986083
    24   0.0032   0.0230   -0.0683   -0.0208   0.0847   0.07986090
    25   0.0043   0.0418   -0.0340   -0.0736   0.0596   0.07986097
    26   0.0044   0.0399   0.0086   -0.0861   0.0179   0.07986104
    27   0.0039   0.0217   0.0404   -0.0601   -0.0200   0.07986111
    28   0.0030   -0.0024   0.0499   -0.0129   -0.0386   0.07986118
    29   0.0024   -0.0214   0.0371   0.0322   -0.0332   0.07986125
    30   0.0023   -0.0282   0.0110   0.0568   -0.0099   0.07986132
    31   0.0027   -0.0222   -0.0151   0.0543   0.0190   0.07986139
    32   0.0036   -0.0079   -0.0304   0.0304   0.0408   0.07986146
    33   0.0045   0.0072   -0.0304   -0.0013   0.0480   0.07986153
    34   0.0053   0.0167   -0.0176   -0.0261   0.0406   0.07986160
    35   0.0056   0.0176   0.0003   -0.0348   0.0247   0.07986167
    36   0.0057   0.0110   0.0151   -0.0265   0.0087   0.07986173
    37   0.0056   0.0009   0.0212   -0.0076   -0.0001   0.07986179
    38   0.0056   -0.0078   0.0174   0.0125   0.0013   0.07986184
    39   0.0059   -0.0118   0.0072   0.0251   0.0111   0.07986190
    40   0.0063   -0.0102   -0.0042   0.0264   0.0245   0.07986195
    41   0.0070   -0.0047   -0.0118   0.0179   0.0359   0.07986199
    42   0.0078   0.0018   -0.0131   0.0049   0.0417   0.07986203
    43   0.0086   0.0064   -0.0086   -0.0063   0.0411   0.07986241
    44   0.0092   0.0075   -0.0012   -0.0112   0.0364   0.07986270
    45   0.0097   0.0053   0.0056   -0.0088   0.0311   0.07986289
    46   0.0102   0.0012   0.0090   -0.0012   0.0285   0.07986298
    47   0.0107   -0.0028   0.0082   0.0077   0.0302   0.07986320
    48   0.0114   -0.0049   0.0043   0.0142   0.0358   0.07986343
    49   0.0122   -0.0047   -0.0006   0.0160   0.0435   0.07986378
    50   0.0101   -0.0026   -0.0042   0.0134   0.0510   0.07986414
    51   0.0080   -0.0039   -0.0077   0.0076   0.0564   0.07986423
    52   0.0054   -0.0047   -0.0125   -0.0025   0.0579   0.07986428
    53   0.0043   -0.0027   -0.0170   -0.0174   0.0531   0.07986434
    54   0.0026   0.0048   -0.0164   -0.0348   0.0401   0.07986438
    55   0.0007   0.0122   -0.0080   -0.0476   0.0191   0.08005015
    56   0.0000   0.0145   0.0056   -0.0490   -0.0056   0.08031841
    57   -0.0005   0.0117   0.0190   -0.0364   -0.0275   0.08033043
    58   -0.0019   0.0040   0.0272   -0.0127   -0.0401   0.08033046
    59   -0.0019   -0.0074   0.0254   0.0146   -0.0395   0.08033069
    60   -0.0012   -0.0149   0.0138   0.0348   -0.0267   0.08033101
    61   -0.0007   -0.0152   -0.0018   0.0408   -0.0072   0.08033105
    62   -0.0004   -0.0099   -0.0146   0.0322   0.0116   0.08033109
    63   0.0002   -0.0022   -0.0206   0.0139   0.0234   0.08033116
