
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0146   -0.1036   0.0948   0.2146   0.1789   0.06344217
     3   0.0169   -0.1845   -0.0609   0.2384   0.2987   0.07912668
     4   0.0355   -0.1208   -0.2241   0.0905   0.3878   0.07912671
     5   0.0195   0.0534   -0.2586   -0.1655   0.3705   0.07912695
     6   0.0045   0.1636   -0.1447   -0.3765   0.2302   0.07912701
     7   0.0006   0.1696   0.0280   -0.4353   0.0201   0.07912705
     8   -0.0013   0.1071   0.1701   -0.3310   -0.1775   0.07912709
     9   -0.0074   0.0159   0.2320   -0.1222   -0.2933   0.07912717
    10   -0.0115   -0.0723   0.2009   0.1017   -0.2972   0.07912748
    11   -0.0113   -0.1213   0.0994   0.2559   -0.2035   0.07912756
    12   -0.0108   -0.1147   -0.0228   0.2936   -0.0610   0.07912762
    13   -0.0088   -0.0680   -0.1164   0.2201   0.0714   0.07912768
    14   -0.0024   -0.0053   -0.1529   0.0802   0.1480   0.07912773
    15   0.0025   0.0536   -0.1261   -0.0642   0.1509   0.07912780
    16   0.0040   0.0833   -0.0539   -0.1566   0.0926   0.07912785
    17   0.0046   0.0733   0.0276   -0.1689   0.0078   0.07912790
    18   0.0025   0.0360   0.0837   -0.1102   -0.0643   0.07912795
    19   0.0002   -0.0107   0.0957   -0.0165   -0.0965   0.07912801
    20   -0.0016   -0.0448   0.0659   0.0671   -0.0826   0.07912807
    21   -0.0024   -0.0541   0.0140   0.1078   -0.0366   0.07912812
    22   -0.0020   -0.0393   -0.0345   0.0963   0.0164   0.07912818
    23   -0.0008   -0.0107   -0.0598   0.0467   0.0532   0.07912823
    24   0.0005   0.0172   -0.0557   -0.0134   0.0614   0.07912829
    25   0.0015   0.0329   -0.0291   -0.0571   0.0427   0.07912835
    26   0.0017   0.0321   0.0048   -0.0692   0.0096   0.07912840
    27   0.0012   0.0181   0.0307   -0.0502   -0.0213   0.07912846
    28   0.0003   -0.0010   0.0391   -0.0137   -0.0376   0.07912851
    29   -0.0004   -0.0162   0.0298   0.0220   -0.0352   0.07912857
    30   -0.0008   -0.0220   0.0097   0.0422   -0.0183   0.07912862
    31   -0.0007   -0.0175   -0.0109   0.0412   0.0035   0.07912868
    32   -0.0003   -0.0066   -0.0232   0.0233   0.0201   0.07912873
    33   0.0003   0.0051   -0.0236   -0.0011   0.0257   0.07912879
    34   0.0007   0.0126   -0.0141   -0.0206   0.0199   0.07912885
    35   0.0009   0.0135   -0.0005   -0.0279   0.0072   0.07912890
    36   0.0007   0.0086   0.0110   -0.0223   -0.0059   0.07912896
    37   0.0004   0.0010   0.0158   -0.0083   -0.0137   0.07912901
    38   0.0001   -0.0057   0.0132   0.0068   -0.0139   0.07912907
    39   -0.0000   -0.0088   0.0055   0.0164   -0.0078   0.07912912
    40   0.0000   -0.0077   -0.0030   0.0175   0.0010   0.07912918
    41   0.0002   -0.0036   -0.0088   0.0113   0.0084   0.07912923
    42   0.0005   0.0013   -0.0098   0.0016   0.0117   0.07912929
    43   0.0007   0.0047   -0.0066   -0.0069   0.0102   0.07912935
    44   0.0008   0.0056   -0.0012   -0.0108   0.0056   0.07912940
    45   0.0008   0.0039   0.0038   -0.0094   0.0003   0.07912946
    46   0.0008   0.0010   0.0063   -0.0041   -0.0032   0.07912951
    47   0.0007   -0.0019   0.0057   0.0021   -0.0036   0.07912957
    48   0.0007   -0.0034   0.0029   0.0066   -0.0013   0.07912962
    49   0.0007   -0.0033   -0.0006   0.0077   0.0024   0.07912968
    50   0.0009   -0.0018   -0.0032   0.0057   0.0059   0.07912973
    51   0.0010   0.0002   -0.0040   0.0020   0.0078   0.07912979
    52   0.0012   0.0017   -0.0029   -0.0016   0.0079   0.07912984
    53   0.0014   0.0023   -0.0008   -0.0035   0.0065   0.07912990
    54   0.0015   0.0018   0.0013   -0.0033   0.0047   0.07912995
    55   0.0016   0.0006   0.0025   -0.0013   0.0035   0.07913001
    56   0.0017   -0.0006   0.0025   0.0014   0.0035   0.07913006
    57   0.0018   -0.0013   0.0015   0.0035   0.0048   0.07913012
    58   0.0020   -0.0014   0.0001   0.0043   0.0068   0.07913017
    59   0.0022   -0.0009   -0.0010   0.0038   0.0088   0.07913022
    60   0.0024   -0.0001   -0.0015   0.0024   0.0104   0.07913028
    61   0.0027   0.0006   -0.0012   0.0011   0.0113   0.07913033
    62   0.0030   0.0009   -0.0003   0.0003   0.0116   0.07913038
    63   0.0033   0.0007   0.0005   0.0004   0.0117   0.07913043
