
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0145   -0.0996   0.0967   0.2324   0.1833   0.06860123
     3   0.0267   -0.1572   -0.1915   0.1948   0.3023   0.06860126
     4   0.0002   -0.0163   -0.3865   -0.1182   0.3298   0.06860129
     5   -0.0032   0.1320   -0.2699   -0.4715   0.1775   0.08298661
     6   -0.0020   0.2018   0.0855   -0.5756   -0.0993   0.09768479
     7   0.0106   0.1235   0.4363   -0.3015   -0.3333   0.09768505
     8   0.0177   -0.0467   0.5249   0.2079   -0.3605   0.09768509
     9   0.0058   -0.2030   0.2636   0.6285   -0.1404   0.14646846
    10   0.0027   -0.2474   -0.2190   0.6584   0.2017   0.14646848
    11   -0.0184   -0.1033   -0.5985   0.2254   0.4387   0.14646872
    12   -0.0161   0.1116   -0.5978   -0.4091   0.3928   0.14646875
    13   -0.0065   0.2842   -0.1789   -0.8267   0.0662   0.23243584
    14   0.0032   0.2732   0.4198   -0.7045   -0.3419   0.23243588
    15   0.0282   0.0561   0.7787   -0.0686   -0.5504   0.23243595
    16   0.0098   -0.2019   0.6329   0.6808   -0.3912   0.25770619
    17   0.0066   -0.3782   0.0136   1.0340   0.0636   0.34556788
    18   -0.0152   -0.2757   -0.6909   0.6781   0.5214   0.34556830
    19   -0.0372   0.0280   -0.9659   -0.2016   0.6522   0.34556864
    20   -0.0120   0.3280   -0.5962   -1.0334   0.3279   0.47215458
    21   -0.0057   0.4627   0.2506   -1.2291   -0.2734   0.49892171
    22   0.0278   0.2470   1.0180   -0.5584   -0.7528   0.49892199
    23   0.0365   -0.1482   1.1379   0.5863   -0.7510   0.49892230
    24   0.0132   -0.4859   0.4696   1.4472   -0.2144   0.78269184
    25   0.0023   -0.5303   -0.6212   1.3791   0.5382   0.78269230
    26   -0.0463   -0.1684   -1.3799   0.3174   0.9945   0.78269253
    27   -0.0177   0.3077   -1.2495   -1.0777   0.7990   0.78389620
    28   -0.0133   0.6749   -0.2026   -1.8660   0.0190   1.15648051
    29   0.0209   0.5510   1.1161   -1.3884   -0.8504   1.15648073
    30   0.0691   0.0252   1.7488   0.1328   -1.1911   1.15648105
    31   0.0224   -0.5319   1.2277   1.7152   -0.7073   1.45919497
    32   0.0127   -0.8438   -0.2442   2.2599   0.3486   1.70028322
    33   -0.0430   -0.5216   -1.7186   1.2241   1.2820   1.70028344
    34   -0.0758   0.1817   -2.1067   -0.8073   1.4028   1.70028368
    35   -0.0253   0.8178   -1.0590   -2.4977   0.5324   2.51847888
    36   -0.0133   0.9964   0.8867   -2.6144   -0.8278   2.51847916
    37   0.0739   0.4076   2.4074   -0.8680   -1.7627   2.51848013
    38   0.0637   -0.4587   2.3859   1.6750   -1.5603   2.51848057
    39   0.0259   -1.1476   0.6849   3.3270   -0.2381   3.89619181
    40   -0.0142   -1.0894   -1.7186   2.8006   1.3953   3.89619218
    41   -0.1141   -0.2090   -3.1351   0.2251   2.2118   3.89619281
    42   -0.0395   0.8260   -2.5158   -2.7752   1.5484   4.35056084
    43   -0.0261   1.5221   -0.0091   -4.1557   -0.2901   5.71845857
    44   0.0626   1.0945   2.8104   -2.6830   -2.1189   5.71845886
    45   0.1489   -0.1318   3.8808   0.8697   -2.6177   5.71845900
    46   0.0482   -1.3338   2.3569   4.1918   -1.2884   7.82625167
    47   0.0224   -1.8571   -1.0612   4.9286   1.1360   8.16823823
    48   -0.1134   -0.9727   -4.1220   2.1878   3.0446   8.16823834
    49   -0.1433   0.6181   -4.5588   -2.4213   3.0051   8.16823880
    50   -0.0525   1.9690   -1.8308   -5.8447   0.8238   12.80526052
    51   -0.0061   2.1200   2.5588   -5.5068   -2.1995   12.80526163
    52   0.1890   0.6493   5.5665   -1.1959   -4.0025   12.80526296
    53   0.0714   -1.2629   4.9849   4.4028   -3.1768   12.95683171
    54   0.0529   -2.7203   0.7403   7.5123   -0.0190   18.85458136
    55   -0.0868   -2.1958   -4.5489   5.5199   3.4626   18.85458257
    56   -0.2775   -0.0696   -7.0385   -0.6328   4.7900   18.85458363
    57   -0.0900   2.1665   -4.8792   -6.9696   2.7989   23.94594897
    58   -0.0502   3.3939   1.0709   -9.0821   -1.4653   27.59727455
    59   0.1761   2.0683   6.9703   -4.8380   -5.1947   27.59727559
    60   0.3017   -0.7676   8.4608   3.3566   -5.6288   27.59727668
    61   0.1011   -3.3170   4.1766   10.1066   -2.0828   41.05734751
    62   0.0509   -3.9965   -3.6679   10.4769   3.3944   41.05734869
