
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0143   -0.0844   0.1048   0.1590   0.1647   0.05078906
     3   0.0162   -0.1675   -0.0301   0.1812   0.2525   0.06190767
     4   0.0275   -0.1384   -0.1913   0.1246   0.3324   0.06190772
     5   0.0177   -0.0211   -0.2733   0.0035   0.3661   0.06190803
     6   0.0093   0.0742   -0.2445   -0.1300   0.3339   0.06190810
     7   0.0085   0.1164   -0.1458   -0.2293   0.2420   0.06190817
     8   0.0097   0.1180   -0.0257   -0.2722   0.1141   0.06190823
     9   0.0087   0.0938   0.0819   -0.2572   -0.0205   0.06190827
    10   0.0043   0.0552   0.1568   -0.1959   -0.1353   0.06190845
    11   -0.0013   0.0114   0.1892   -0.1075   -0.2118   0.06190849
    12   -0.0069   -0.0269   0.1797   -0.0137   -0.2419   0.06190853
    13   -0.0118   -0.0527   0.1377   0.0667   -0.2278   0.06190858
    14   -0.0151   -0.0637   0.0776   0.1210   -0.1796   0.06190890
    15   -0.0162   -0.0610   0.0138   0.1438   -0.1121   0.06190900
    16   -0.0147   -0.0476   -0.0412   0.1363   -0.0409   0.06190923
    17   -0.0111   -0.0270   -0.0785   0.1056   0.0204   0.06190947
    18   -0.0067   -0.0039   -0.0931   0.0617   0.0625   0.06190951
    19   -0.0033   0.0154   -0.0862   0.0161   0.0818   0.06190959
    20   -0.0004   0.0261   -0.0641   -0.0220   0.0798   0.06190969
    21   0.0021   0.0285   -0.0358   -0.0470   0.0620   0.06190988
    22   0.0037   0.0260   -0.0079   -0.0579   0.0352   0.06191004
    23   0.0038   0.0205   0.0158   -0.0557   0.0063   0.06191012
    24   0.0027   0.0124   0.0323   -0.0433   -0.0188   0.06191033
    25   0.0013   0.0029   0.0398   -0.0249   -0.0360   0.06191057
    26   -0.0001   -0.0056   0.0380   -0.0051   -0.0435   0.06191080
    27   -0.0014   -0.0113   0.0291   0.0119   -0.0416   0.06191103
    28   -0.0025   -0.0137   0.0161   0.0233   -0.0325   0.06191127
    29   -0.0032   -0.0131   0.0023   0.0279   -0.0194   0.06191130
    30   -0.0032   -0.0102   -0.0096   0.0260   -0.0056   0.06191155
    31   -0.0027   -0.0057   -0.0176   0.0190   0.0058   0.06191190
    32   -0.0019   -0.0003   -0.0205   0.0093   0.0129   0.06191195
    33   -0.0012   0.0042   -0.0183   -0.0006   0.0150   0.06191208
    34   -0.0006   0.0069   -0.0125   -0.0084   0.0126   0.06191216
    35   -0.0001   0.0073   -0.0051   -0.0129   0.0071   0.06191239
    36   0.0001   0.0062   0.0018   -0.0136   0.0004   0.06191262
    37   0.0000   0.0040   0.0070   -0.0113   -0.0060   0.06191285
    38   -0.0002   0.0014   0.0097   -0.0071   -0.0106   0.06191308
    39   -0.0005   -0.0010   0.0098   -0.0021   -0.0129   0.06191330
    40   -0.0009   -0.0027   0.0078   0.0024   -0.0128   0.06191353
    41   -0.0011   -0.0035   0.0046   0.0055   -0.0108   0.06191374
    42   -0.0013   -0.0034   0.0010   0.0069   -0.0076   0.06191377
    43   -0.0012   -0.0026   -0.0020   0.0066   -0.0042   0.06191401
    44   -0.0009   -0.0014   -0.0040   0.0051   -0.0012   0.06191419
    45   -0.0003   0.0001   -0.0045   0.0029   0.0008   0.06191461
    46   -0.0002   0.0017   -0.0035   0.0008   0.0017   0.06191630
    47   -0.0002   0.0018   -0.0016   -0.0004   0.0017   0.06191657
    48   0.0001   0.0009   -0.0002   -0.0008   0.0014   0.06191665
    49   0.0003   0.0003   0.0005   -0.0007   0.0010   0.06191672
    50   0.0002   0.0001   0.0007   -0.0004   0.0007   0.06191691
    51   0.0001   -0.0002   0.0006   -0.0001   0.0006   0.06191736
    52   0.0001   -0.0004   0.0002   0.0001   0.0006   0.06191773
    53   0.0001   -0.0003   -0.0002   0.0001   0.0006   0.06191792
    54   0.0001   -0.0001   -0.0004   -0.0000   0.0006   0.06191811
    55   0.0000   0.0001   -0.0004   -0.0002   0.0006   0.06191830
    56   0.0000   0.0002   -0.0002   -0.0004   0.0004   0.06191849
    57   0.0000   0.0002   -0.0001   -0.0004   0.0002   0.06191868
    58   0.0000   0.0002   0.0001   -0.0004   0.0000   0.06191887
    59   0.0000   0.0001   0.0002   -0.0003   -0.0002   0.06191907
    60   0.0000   0.0000   0.0003   -0.0002   -0.0003   0.06191926
    61   -0.0000   -0.0000   0.0003   -0.0000   -0.0004   0.06191941
    62   -0.0000   -0.0001   0.0002   0.0001   -0.0004   0.06191955
