
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0152   -0.1262   0.0822   0.2103   0.1783   0.06127246
     3   0.0162   -0.2017   -0.0962   0.2096   0.2909   0.07066033
     4   0.0299   -0.1053   -0.2621   0.0223   0.3559   0.07066056
     5   0.0034   0.1002   -0.2651   -0.2586   0.2969   0.07066094
     6   -0.0043   0.2077   -0.1044   -0.4524   0.1124   0.07066098
     7   -0.0040   0.2030   0.1096   -0.4494   -0.1220   0.08138267
     8   -0.0097   0.1067   0.2707   -0.2511   -0.3039   0.08138270
     9   -0.0078   -0.0419   0.3034   0.0485   -0.3559   0.08138274
    10   -0.0016   -0.1570   0.1990   0.3093   -0.2621   0.08138298
    11   0.0005   -0.1869   0.0204   0.4215   -0.0719   0.08138300
    12   0.0014   -0.1382   -0.1475   0.3538   0.1289   0.08138304
    13   0.0054   -0.0413   -0.2396   0.1521   0.2592   0.08138327
    14   0.0071   0.0662   -0.2253   -0.0893   0.2743   0.08138331
    15   0.0044   0.1357   -0.1195   -0.2676   0.1806   0.08138355
    16   0.0035   0.1378   0.0223   -0.3164   0.0287   0.08138359
    17   0.0011   0.0855   0.1374   -0.2321   -0.1132   0.08138382
    18   -0.0038   0.0046   0.1829   -0.0652   -0.1895   0.08138406
    19   -0.0052   -0.0723   0.1463   0.1059   -0.1778   0.08138430
    20   -0.0045   -0.1077   0.0519   0.2079   -0.0953   0.08138454
    21   -0.0035   -0.0908   -0.0512   0.2068   0.0127   0.08138477
    22   -0.0018   -0.0380   -0.1174   0.1181   0.0966   0.08138501
    23   -0.0003   0.0234   -0.1238   -0.0077   0.1245   0.08138525
    24   0.0003   0.0657   -0.0766   -0.1115   0.0927   0.08138549
    25   -0.0000   0.0739   -0.0038   -0.1523   0.0237   0.08138573
    26   -0.0010   0.0493   0.0600   -0.1222   -0.0476   0.08138597
    27   -0.0020   0.0074   0.0887   -0.0443   -0.0904   0.08138621
    28   -0.0027   -0.0315   0.0754   0.0410   -0.0907   0.08138645
    29   -0.0028   -0.0512   0.0320   0.0964   -0.0545   0.08138669
    30   -0.0023   -0.0462   -0.0187   0.1026   -0.0026   0.08138693
    31   -0.0015   -0.0223   -0.0539   0.0643   0.0406   0.08138716
    32   -0.0008   0.0076   -0.0610   0.0044   0.0580   0.08138740
    33   -0.0004   0.0299   -0.0410   -0.0485   0.0461   0.08138764
    34   -0.0005   0.0361   -0.0065   -0.0728   0.0144   0.08138788
    35   -0.0009   0.0260   0.0256   -0.0624   -0.0208   0.08138812
    36   -0.0014   0.0064   0.0421   -0.0269   -0.0438   0.08138836
    37   -0.0018   -0.0131   0.0382   0.0149   -0.0467   0.08138860
    38   -0.0019   -0.0241   0.0186   0.0443   -0.0310   0.08138884
    39   -0.0017   -0.0232   -0.0060   0.0505   -0.0063   0.08138908
    40   -0.0013   -0.0126   -0.0245   0.0344   0.0157   0.08138932
    41   -0.0009   0.0019   -0.0298   0.0061   0.0261   0.08138956
    42   -0.0007   0.0134   -0.0216   -0.0206   0.0221   0.08138980
    43   -0.0007   0.0175   -0.0055   -0.0345   0.0076   0.08139004
    44   -0.0009   0.0135   0.0106   -0.0315   -0.0095   0.08139028
    45   -0.0011   0.0044   0.0198   -0.0156   -0.0217   0.08139052
    46   -0.0013   -0.0053   0.0192   0.0048   -0.0244   0.08139075
    47   -0.0013   -0.0113   0.0105   0.0201   -0.0178   0.08139099
    48   -0.0012   -0.0116   -0.0014   0.0247   -0.0061   0.08139123
    49   -0.0010   -0.0069   -0.0109   0.0181   0.0051   0.08139147
    50   -0.0008   -0.0000   -0.0144   0.0049   0.0110   0.08139171
    51   -0.0007   0.0059   -0.0112   -0.0084   0.0099   0.08139195
    52   -0.0007   0.0084   -0.0037   -0.0161   0.0035   0.08139219
    53   -0.0008   0.0070   0.0042   -0.0158   -0.0048   0.08139243
    54   -0.0009   0.0028   0.0092   -0.0087   -0.0112   0.08139267
    55   -0.0010   -0.0020   0.0096   0.0011   -0.0131   0.08139291
    56   -0.0010   -0.0052   0.0058   0.0090   -0.0104   0.08139315
    57   -0.0009   -0.0057   0.0001   0.0120   -0.0049   0.08139339
    58   -0.0008   -0.0037   -0.0048   0.0095   0.0007   0.08139363
    59   -0.0007   -0.0004   -0.0069   0.0033   0.0040   0.08139387
    60   -0.0007   0.0025   -0.0058   -0.0033   0.0040   0.08139410
    61   -0.0006   0.0040   -0.0023   -0.0075   0.0011   0.08139434
    62   -0.0007   0.0035   0.0016   -0.0078   -0.0029   0.08139458
