
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0148   -0.1102   0.0916   0.2136   0.1788   0.06277635
     3   0.0168   -0.1928   -0.0723   0.2301   0.2966   0.07674877
     4   0.0340   -0.1209   -0.2405   0.0676   0.3781   0.07674881
     5   0.0138   0.0661   -0.2691   -0.2030   0.3455   0.07674905
     6   -0.0013   0.1812   -0.1399   -0.4172   0.1850   0.07674909
     7   -0.0019   0.1870   0.0509   -0.4622   -0.0429   0.08393927
     8   -0.0067   0.1201   0.2094   -0.3265   -0.2467   0.08393931
     9   -0.0117   0.0075   0.2742   -0.0752   -0.3498   0.08393968
    10   -0.0108   -0.1007   0.2243   0.1831   -0.3208   0.08393991
    11   -0.0074   -0.1532   0.0920   0.3456   -0.1831   0.08393994
    12   -0.0054   -0.1371   -0.0578   0.3613   -0.0001   0.08394000
    13   -0.0015   -0.0743   -0.1658   0.2442   0.1558   0.08394029
    14   0.0055   0.0072   -0.1988   0.0551   0.2320   0.08394064
    15   0.0083   0.0797   -0.1521   -0.1265   0.2122   0.08394099
    16   0.0082   0.1105   -0.0527   -0.2315   0.1185   0.08394131
    17   0.0077   0.0922   0.0522   -0.2302   -0.0013   0.08394160
    18   0.0035   0.0421   0.1209   -0.1394   -0.0966   0.08394190
    19   -0.0002   -0.0196   0.1312   -0.0083   -0.1339   0.08394221
    20   -0.0020   -0.0646   0.0862   0.1042   -0.1080   0.08394251
    21   -0.0022   -0.0753   0.0130   0.1547   -0.0402   0.08394280
    22   -0.0011   -0.0530   -0.0533   0.1327   0.0344   0.08394310
    23   0.0007   -0.0124   -0.0865   0.0594   0.0838   0.08394340
    24   0.0024   0.0266   -0.0782   -0.0262   0.0917   0.08394371
    25   0.0032   0.0480   -0.0387   -0.0865   0.0619   0.08394401
    26   0.0031   0.0459   0.0102   -0.1006   0.0131   0.08394431
    27   0.0022   0.0251   0.0468   -0.0703   -0.0312   0.08394461
    28   0.0011   -0.0027   0.0578   -0.0157   -0.0531   0.08394492
    29   0.0003   -0.0247   0.0430   0.0365   -0.0473   0.08394522
    30   0.0001   -0.0328   0.0128   0.0651   -0.0206   0.08394552
    31   0.0005   -0.0259   -0.0176   0.0621   0.0125   0.08394581
    32   0.0013   -0.0094   -0.0357   0.0341   0.0373   0.08394612
    33   0.0022   0.0082   -0.0359   -0.0032   0.0450   0.08394642
    34   0.0027   0.0195   -0.0211   -0.0326   0.0354   0.08394672
    35   0.0028   0.0208   -0.0000   -0.0433   0.0155   0.08394702
    36   0.0026   0.0132   0.0176   -0.0339   -0.0045   0.08394731
    37   0.0022   0.0014   0.0249   -0.0117   -0.0162   0.08394761
    38   0.0019   -0.0090   0.0208   0.0121   -0.0159   0.08394790
    39   0.0018   -0.0140   0.0087   0.0272   -0.0056   0.08394820
    40   0.0020   -0.0123   -0.0050   0.0289   0.0090   0.08394849
    41   0.0025   -0.0058   -0.0143   0.0187   0.0213   0.08394878
    42   0.0029   0.0020   -0.0161   0.0029   0.0267   0.08394907
    43   0.0033   0.0077   -0.0108   -0.0111   0.0245   0.08394936
    44   0.0035   0.0092   -0.0020   -0.0176   0.0169   0.08394964
    45   0.0036   0.0066   0.0063   -0.0152   0.0084   0.08394992
    46   0.0035   0.0017   0.0106   -0.0064   0.0028   0.08395019
    47   0.0035   -0.0031   0.0098   0.0042   0.0022   0.08395045
    48   0.0036   -0.0058   0.0051   0.0118   0.0064   0.08395053
    49   0.0038   -0.0057   -0.0009   0.0139   0.0131   0.08395060
    50   0.0041   -0.0033   -0.0055   0.0105   0.0194   0.08395068
    51   0.0045   0.0001   -0.0070   0.0040   0.0231   0.08395075
    52   0.0049   0.0029   -0.0053   -0.0024   0.0234   0.08395082
    53   0.0052   0.0040   -0.0017   -0.0059   0.0212   0.08395089
    54   0.0054   0.0032   0.0021   -0.0056   0.0182   0.08395096
    55   0.0056   0.0012   0.0044   -0.0022   0.0161   0.08395103
    56   0.0058   -0.0010   0.0045   0.0025   0.0162   0.08395110
    57   0.0061   -0.0024   0.0028   0.0063   0.0184   0.08395117
    58   0.0064   -0.0026   0.0003   0.0078   0.0220   0.08395123
    59   0.0068   -0.0017   -0.0019   0.0069   0.0258   0.08395129
    60   0.0072   -0.0003   -0.0029   0.0044   0.0287   0.08395134
    61   0.0077   0.0010   -0.0024   0.0016   0.0301   0.08395139
    62   0.0081   0.0016   -0.0010   -0.0002   0.0304   0.08395143
    63   0.0085   0.0015   0.0007   -0.0003   0.0302   0.08395185
