
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.1465   0.0406   0.2126   0.1807   0.05519237
     3   0.0108   -0.1488   -0.3059   0.0804   0.2688   0.05519239
     4   -0.0071   0.0837   -0.3926   -0.3086   0.2156   0.06151201
     5   -0.0060   0.2499   -0.0295   -0.5480   -0.0139   0.09083052
     6   0.0165   0.1687   0.4355   -0.3313   -0.2535   0.09083078
     7   0.0237   -0.0757   0.5471   0.2016   -0.2907   0.09083082
     8   0.0086   -0.2718   0.1707   0.5939   -0.0760   0.13782833
     9   -0.0120   -0.2340   -0.3884   0.4787   0.2159   0.13782837
    10   -0.0357   0.0253   -0.6255   -0.0723   0.3276   0.13782876
    11   -0.0114   0.2599   -0.3203   -0.5850   0.1504   0.19360843
    12   0.0013   0.2974   0.2949   -0.6042   -0.1730   0.19360880
    13   0.0400   0.0412   0.6739   -0.0763   -0.3593   0.19360905
    14   0.0137   -0.2335   0.4733   0.5440   -0.2340   0.24833532
    15   0.0058   -0.3509   -0.1701   0.7156   0.1082   0.24833535
    16   -0.0380   -0.1193   -0.6930   0.2447   0.3705   0.24833560
    17   -0.0160   0.1980   -0.6180   -0.4647   0.3124   0.29431360
    18   -0.0073   0.3900   0.0284   -0.7922   -0.0292   0.32347577
    19   0.0356   0.1992   0.6821   -0.4045   -0.3562   0.32347623
    20   0.0183   -0.1567   0.7403   0.3671   -0.3681   0.33765742
    21   0.0110   -0.4191   0.1074   0.8356   -0.0405   0.40277134
    22   -0.0314   -0.2676   -0.6536   0.5368   0.3349   0.40277142
    23   -0.0395   0.1161   -0.8311   -0.2707   0.4090   0.40277147
    24   -0.0141   0.4131   -0.2544   -0.8640   0.1009   0.50558017
    25   0.0183   0.3461   0.5867   -0.6866   -0.3225   0.50558025
    26   0.0531   -0.0502   0.9236   0.1359   -0.4745   0.50558058
    27   0.0169   -0.3954   0.4451   0.8789   -0.2006   0.62924451
    28   -0.0039   -0.4336   -0.4710   0.8726   0.2762   0.62924495
    29   -0.0597   -0.0425   -1.0051   0.0681   0.5341   0.62924531
    30   -0.0200   0.3615   -0.6703   -0.8382   0.3275   0.75605598
    31   -0.0079   0.5163   0.2969   -1.0514   -0.1859   0.75605643
    32   0.0585   0.1561   1.0453   -0.3191   -0.5604   0.75605698
    33   0.0234   -0.3101   0.8935   0.7295   -0.4515   0.86544614
    34   0.0101   -0.5795   -0.0845   1.1799   0.0673   0.91621032
    35   -0.0546   -0.2797   -1.0382   0.5676   0.5448   0.91621096
    36   -0.0271   0.2498   -1.0884   -0.5856   0.5425   0.96703657
    37   -0.0156   0.6279   -0.1236   -1.2560   0.0412   1.10074913
    38   0.0490   0.3864   1.0007   -0.7764   -0.5147   1.10074945
    39   0.0546   -0.1880   1.2356   0.4394   -0.6090   1.10074973
    40   0.0205   -0.6284   0.3446   1.3044   -0.1353   1.32632964
    41   -0.0313   -0.5038   -0.9098   1.0007   0.4942   1.32632998
    42   -0.0780   0.0944   -1.3774   -0.2445   0.7033   1.32633061
    43   -0.0248   0.6044   -0.6249   -1.3323   0.2773   1.60493590
    44   0.0092   0.6360   0.7463   -1.2772   -0.4334   1.60493620
    45   0.0896   0.0403   1.5064   -0.0497   -0.7974   1.60493655
    46   0.0296   -0.5573   0.9613   1.2857   -0.4655   1.89799086
    47   0.0101   -0.7641   -0.4952   1.5541   0.3063   1.89799129
    48   -0.0897   -0.2083   -1.5784   0.4230   0.8466   1.89799151
    49   -0.0346   0.4826   -1.3033   -1.1352   0.6571   2.15684444
    50   -0.0140   0.8649   0.1784   -1.7629   -0.1303   2.24392230
    51   0.0834   0.3969   1.5796   -0.8044   -0.8317   2.24392258
    52   0.0404   -0.3944   1.6087   0.9241   -0.8032   2.39372566
    53   0.0224   -0.9430   0.1384   1.8911   -0.0370   2.67135716
    54   -0.0761   -0.5619   -1.5301   1.1305   0.7893   2.67135747
    55   -0.0750   0.3002   -1.8434   -0.7027   0.9097   2.67135774
    56   -0.0300   0.9569   -0.4693   -1.9707   0.1832   3.16671785
    57   0.0525   0.7364   1.4069   -1.4646   -0.7554   3.16671810
    58   0.1144   -0.1678   2.0582   0.4215   -1.0440   3.16671846
    59   0.0367   -0.9238   0.8801   2.0192   -0.3840   3.79471201
    60   -0.0189   -0.9350   -1.1756   1.8736   0.6765   3.79471226
    61   -0.1344   -0.0281   -2.2600   0.0017   1.1916   3.79471247
    62   -0.0438   0.8582   -1.3814   -1.9696   0.6626   4.47084889
