
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0143   -0.0717   0.1262   0.2422   0.1845   0.07962417
     3   0.0260   -0.1402   -0.1072   0.2633   0.3208   0.07962426
     4   0.0222   -0.0595   -0.3241   0.0340   0.4043   0.07962450
     5   0.0073   0.0709   -0.3139   -0.3071   0.3356   0.07962472
     6   0.0034   0.1408   -0.0920   -0.5219   0.1190   0.07962478
     7   0.0071   0.1278   0.1902   -0.4706   -0.1410   0.07962483
     8   0.0106   0.0488   0.3768   -0.1738   -0.3099   0.07962521
     9   0.0079   -0.0574   0.3692   0.2172   -0.2988   0.07962524
    10   0.0014   -0.1409   0.1609   0.4963   -0.1116   0.09281610
    11   0.0002   -0.1528   -0.1499   0.5038   0.1515   0.09376320
    12   -0.0057   -0.0711   -0.3872   0.2215   0.3428   0.09376344
    13   -0.0064   0.0491   -0.4121   -0.1984   0.3497   0.09376367
    14   -0.0011   0.1466   -0.2068   -0.5243   0.1604   0.10060698
    15   0.0001   0.1691   0.1269   -0.5681   -0.1268   0.10949073
    16   0.0068   0.0897   0.4008   -0.2908   -0.3530   0.10949095
    17   0.0073   -0.0374   0.4578   0.1599   -0.3882   0.10949125
    18   0.0014   -0.1500   0.2613   0.5384   -0.2054   0.10971889
    19   0.0002   -0.1870   -0.0949   0.6278   0.1012   0.12839877
    20   -0.0071   -0.1113   -0.4106   0.3624   0.3620   0.12839902
    21   -0.0083   0.0245   -0.5042   -0.1179   0.4271   0.12839937
    22   -0.0049   0.1529   -0.3185   -0.5509   0.2521   0.12839940
    23   -0.0004   0.2014   0.0552   -0.6908   -0.0741   0.15263509
    24   0.0059   0.1363   0.4126   -0.4459   -0.3733   0.15263513
    25   0.0077   -0.0065   0.5516   0.0603   -0.4756   0.15263536
    26   0.0063   -0.1524   0.3857   0.5535   -0.3151   0.15263567
    27   0.0004   -0.2171   -0.0036   0.7555   0.0285   0.17678524
    28   -0.0058   -0.1633   -0.4060   0.5416   0.3697   0.17678562
    29   -0.0084   -0.0157   -0.5971   0.0152   0.5170   0.17678584
    30   -0.0076   0.1475   -0.4600   -0.5409   0.3798   0.17678608
    31   -0.0007   0.2328   -0.0596   -0.8151   0.0239   0.20355384
    32   0.0051   0.1931   0.3909   -0.6427   -0.3595   0.20355388
    33   0.0093   0.0411   0.6401   -0.1016   -0.5561   0.20355395
    34   0.0089   -0.1395   0.5385   0.5180   -0.4477   0.20355399
    35   0.0010   -0.2476   0.1313   0.8711   -0.0833   0.23252369
    36   -0.0040   -0.2244   -0.3679   0.7489   0.3427   0.23252373
    37   -0.0102   -0.0691   -0.6797   0.1990   0.5928   0.23252383
    38   -0.0102   0.1280   -0.6201   -0.4841   0.5191   0.23252387
    39   -0.0013   0.2608   -0.2114   -0.9222   0.1503   0.26296035
    40   0.0024   0.2569   0.3360   -0.8593   -0.3181   0.26296038
    41   0.0113   0.0999   0.7144   -0.3076   -0.6258   0.26296057
    42   0.0113   -0.1127   0.7036   0.4372   -0.5930   0.26296102
    43   0.0017   -0.2716   0.2999   0.9657   -0.2253   0.29370682
    44   -0.0004   -0.2899   -0.2937   0.9719   0.2842   0.29736430
    45   -0.0122   -0.1332   -0.7419   0.4277   0.6529   0.29736447
    46   -0.0124   0.0933   -0.7872   -0.3750   0.6680   0.29736458
    47   -0.0020   0.2792   -0.3965   -0.9982   0.3083   0.32292518
    48   0.0001   0.3225   0.2395   -1.0840   -0.2390   0.35604610
    49   0.0130   0.1718   0.7627   -0.5575   -0.6714   0.35604655
    50   0.0140   -0.0704   0.8731   0.3012   -0.7401   0.35604711
    51   0.0026   -0.2854   0.5002   1.0241   -0.3931   0.35613183
    52   0.0003   -0.3566   -0.1783   1.1971   0.1907   0.42486649
    53   -0.0134   -0.2130   -0.7811   0.6932   0.6887   0.42486709
    54   -0.0158   0.0457   -0.9613   -0.2215   0.8143   0.42486717
    55   -0.0095   0.2908   -0.6090   -1.0480   0.4821   0.42486721
    56   -0.0008   0.3838   0.1027   -1.3169   -0.1391   0.51295490
    57   0.0111   0.2605   0.7847   -0.8524   -0.7102   0.51295550
    58   0.0147   -0.0114   1.0515   0.1114   -0.9067   0.51295584
    59   0.0121   -0.2897   0.7371   1.0526   -0.6025   0.51295628
    60   0.0008   -0.4138   -0.0041   1.4400   0.0519   0.60047309
    61   -0.0110   -0.3120   -0.7719   1.0349   0.7030   0.60047369
    62   -0.0160   -0.0311   -1.1380   0.0326   0.9853   0.60047392
