
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0152   -0.1242   0.0839   0.2109   0.1784   0.06154063
     3   0.0164   -0.2037   -0.0943   0.2124   0.2918   0.07204213
     4   0.0301   -0.1111   -0.2643   0.0253   0.3584   0.07204237
     5   0.0033   0.0958   -0.2729   -0.2608   0.2999   0.07204241
     6   -0.0032   0.2100   -0.1136   -0.4636   0.1121   0.07440804
     7   -0.0048   0.2142   0.1075   -0.4670   -0.1298   0.08933280
     8   -0.0115   0.1177   0.2802   -0.2651   -0.3201   0.08933283
     9   -0.0091   -0.0386   0.3204   0.0484   -0.3759   0.08933307
    10   -0.0016   -0.1626   0.2149   0.3264   -0.2778   0.08933331
    11   0.0014   -0.1979   0.0279   0.4507   -0.0757   0.08933359
    12   0.0028   -0.1508   -0.1521   0.3846   0.1407   0.08933386
    13   0.0072   -0.0509   -0.2555   0.1724   0.2843   0.08933410
    14   0.0088   0.0641   -0.2473   -0.0887   0.3049   0.08933434
    15   0.0051   0.1428   -0.1391   -0.2885   0.2061   0.08933438
    16   0.0031   0.1511   0.0132   -0.3521   0.0395   0.08933442
    17   0.0003   0.1000   0.1425   -0.2700   -0.1214   0.08933465
    18   -0.0052   0.0154   0.2010   -0.0912   -0.2142   0.08933470
    19   -0.0072   -0.0703   0.1711   0.1021   -0.2102   0.08933474
    20   -0.0054   -0.1166   0.0732   0.2281   -0.1235   0.08933498
    21   -0.0043   -0.1058   -0.0422   0.2427   -0.0009   0.08933521
    22   -0.0011   -0.0538   -0.1242   0.1551   0.1019   0.08933545
    23   0.0011   0.0148   -0.1431   0.0156   0.1454   0.08933589
    24   0.0019   0.0676   -0.0992   -0.1100   0.1200   0.08933612
    25   0.0014   0.0843   -0.0199   -0.1709   0.0464   0.08933636
    26   0.0001   0.0630   0.0563   -0.1509   -0.0372   0.08933660
    27   -0.0015   0.0182   0.0977   -0.0701   -0.0942   0.08933684
    28   -0.0025   -0.0277   0.0919   0.0285   -0.1044   0.08933708
    29   -0.0026   -0.0553   0.0482   0.1009   -0.0702   0.08933732
    30   -0.0020   -0.0556   -0.0095   0.1203   -0.0125   0.08933756
    31   -0.0009   -0.0324   -0.0548   0.0862   0.0410   0.08933780
    32   0.0001   0.0011   -0.0704   0.0208   0.0684   0.08933803
    33   0.0006   0.0292   -0.0541   -0.0438   0.0619   0.08933827
    34   0.0005   0.0410   -0.0174   -0.0806   0.0293   0.08933851
    35   -0.0001   0.0337   0.0214   -0.0779   -0.0120   0.08933875
    36   -0.0008   0.0133   0.0455   -0.0428   -0.0431   0.08933899
    37   -0.0014   -0.0097   0.0469   0.0053   -0.0526   0.08933923
    38   -0.0016   -0.0253   0.0284   0.0443   -0.0394   0.08933947
    39   -0.0013   -0.0280   0.0005   0.0589   -0.0124   0.08933970
    40   -0.0008   -0.0185   -0.0235   0.0467   0.0150   0.08933994
    41   -0.0003   -0.0025   -0.0341   0.0166   0.0312   0.08934018
    42   0.0000   0.0121   -0.0288   -0.0161   0.0311   0.08934042
    43   0.0000   0.0196   -0.0121   -0.0372   0.0171   0.08934066
    44   -0.0002   0.0177   0.0072   -0.0395   -0.0029   0.08934090
    45   -0.0006   0.0086   0.0207   -0.0248   -0.0196   0.08934114
    46   -0.0009   -0.0028   0.0235   -0.0017   -0.0263   0.08934138
    47   -0.0010   -0.0113   0.0160   0.0188   -0.0218   0.08934161
    48   -0.0009   -0.0139   0.0028   0.0284   -0.0094   0.08934185
    49   -0.0006   -0.0102   -0.0096   0.0247   0.0044   0.08934209
    50   -0.0004   -0.0028   -0.0162   0.0112   0.0136   0.08934233
    51   -0.0002   0.0048   -0.0150   -0.0051   0.0151   0.08934257
    52   -0.0002   0.0092   -0.0077   -0.0168   0.0093   0.08934281
    53   -0.0002   0.0091   0.0019   -0.0197   -0.0002   0.08934305
    54   -0.0004   0.0052   0.0092   -0.0138   -0.0089   0.08934328
    55   -0.0006   -0.0004   0.0116   -0.0030   -0.0132   0.08934352
    56   -0.0006   -0.0049   0.0088   0.0076   -0.0120   0.08934376
    57   -0.0006   -0.0068   0.0026   0.0135   -0.0064   0.08934400
    58   -0.0005   -0.0055   -0.0037   0.0128   0.0004   0.08934424
    59   -0.0004   -0.0021   -0.0076   0.0069   0.0055   0.08934448
    60   -0.0003   0.0017   -0.0077   -0.0010   0.0070   0.08934472
    61   -0.0002   0.0042   -0.0045   -0.0074   0.0047   0.08934496
    62   -0.0003   0.0046   0.0001   -0.0097   0.0003   0.08934519
