
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.0846   0.1137   0.2382   0.1840   0.07456982
     3   0.0284   -0.1523   -0.1491   0.2320   0.3127   0.07456986
     4   0.0111   -0.0423   -0.3636   -0.0430   0.3691   0.07457009
     5   -0.0033   0.0986   -0.3090   -0.4032   0.2553   0.07457013
     6   -0.0009   0.1718   -0.0253   -0.5827   -0.0032   0.10030423
     7   0.0041   0.1451   0.3116   -0.4351   -0.2718   0.10030427
     8   0.0115   0.0223   0.4928   -0.0122   -0.3913   0.10030460
     9   0.0077   -0.1242   0.3894   0.4536   -0.2767   0.10030463
    10   0.0027   -0.2151   0.0311   0.6793   0.0216   0.14194745
    11   -0.0043   -0.1753   -0.3852   0.4956   0.3329   0.14194750
    12   -0.0154   -0.0172   -0.5938   -0.0206   0.4605   0.14194773
    13   -0.0050   0.1589   -0.4489   -0.5716   0.3064   0.14430003
    14   -0.0035   0.2678   0.0033   -0.8128   -0.0588   0.19968355
    15   0.0075   0.1991   0.5018   -0.5487   -0.4202   0.19968361
    16   0.0205   -0.0013   0.7172   0.0945   -0.5429   0.19968366
    17   0.0064   -0.2095   0.4998   0.7382   -0.3256   0.22467888
    18   0.0042   -0.3251   -0.0676   0.9739   0.1264   0.28749228
    19   -0.0102   -0.2223   -0.6527   0.5964   0.5436   0.28749240
    20   -0.0248   0.0290   -0.8649   -0.2048   0.6505   0.28749250
    21   -0.0076   0.2745   -0.5503   -0.9538   0.3477   0.34876370
    22   -0.0045   0.3928   0.1585   -1.1698   -0.2131   0.41360317
    23   0.0142   0.2453   0.8411   -0.6452   -0.6956   0.41360324
    24   0.0295   -0.0661   1.0403   0.3480   -0.7784   0.41360330
    25   0.0089   -0.3549   0.6022   1.2180   -0.3685   0.53736974
    26   0.0047   -0.4725   -0.2771   1.4005   0.3232   0.59344294
    27   -0.0193   -0.2690   -1.0709   0.6923   0.8799   0.59344329
    28   -0.0347   0.1143   -1.2463   -0.5309   0.9277   0.59344360
    29   -0.0104   0.4534   -0.6539   -1.5382   0.3856   0.81999192
    30   -0.0049   0.5659   0.4298   -1.6694   -0.4620   0.84709519
    31   0.0257   0.2922   1.3490   -0.7339   -1.1017   0.84709541
    32   0.0402   -0.1763   1.4860   0.7627   -1.1004   0.84709574
    33   0.0122   -0.5735   0.7018   1.9236   -0.3958   1.23706473
    34   0.0069   -0.6740   -0.6250   1.9791   0.6358   1.23706500
    35   -0.0339   -0.3107   -1.6803   0.7652   1.3664   1.23706533
    36   -0.0463   0.2540   -1.7577   -1.0490   1.2989   1.23706569
    37   -0.0140   0.7142   -0.7434   -2.3773   0.3997   1.83451530
    38   -0.0062   0.7963   0.8636   -2.3312   -0.8452   1.83451558
    39   0.0437   0.3301   2.0718   -0.7850   -1.6753   1.83451632
    40   0.0544   -0.3503   2.0712   1.4013   -1.5214   1.83451669
    41   0.0162   -0.8822   0.7782   2.9159   -0.3877   2.70697028
    42   0.0043   -0.9387   -1.1598   2.7348   1.1067   2.70697063
    43   -0.0552   -0.3483   -2.5417   0.7846   2.0450   2.70697099
    44   -0.0636   0.4718   -2.4360   -1.8426   1.7762   2.70697133
    45   -0.0189   1.0865   -0.7991   -3.5641   0.3557   3.98097483
    46   -0.0011   1.1044   1.5335   -3.2002   -1.4338   3.98097523
    47   0.0693   0.3615   3.1096   -0.7534   -2.4888   3.98097548
    48   0.0736   -0.6261   2.8594   2.3976   -2.0674   3.98097578
    49   0.0221   -1.3353   0.7965   4.3455   -0.2949   5.83792988
    50   -0.0039   -1.2966   -2.0068   3.7341   1.8433   5.83793039
    51   -0.0870   -0.3651   -3.7961   0.6757   3.0213   5.83793051
    52   -0.0841   0.8222   -3.3480   -3.0967   2.3975   5.83793090
    53   -0.0258   1.6391   -0.7561   -5.2868   0.1925   8.53637458
    54   0.0115   1.5177   2.6078   -4.3408   -2.3563   8.53637581
    55   0.1092   0.3528   4.6255   -0.5278   -3.6587   8.53637596
    56   0.0936   -1.0722   3.9066   3.9786   -2.7661   8.53637607
    57   0.0301   -2.0109   0.6555   6.4184   -0.0299   12.43942562
    58   -0.0230   -1.7689   -3.3743   5.0186   2.9993   12.43942714
    59   -0.1375   -0.3140   -5.6257   0.2733   4.4175   12.43942841
    60   -0.0980   1.3921   -4.5350   -5.0949   3.1665   12.43943007
    61   -0.0351   2.4696   -0.4563   -7.7728   -0.2222   18.03382388
    62   0.0412   2.0470   4.3616   -5.7493   -3.8060   18.03382511
