
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.0937   0.0999   0.2163   0.1791   0.06472630
     3   0.0171   -0.1736   -0.0442   0.2509   0.3020   0.08384531
     4   0.0367   -0.1215   -0.2013   0.1237   0.4023   0.08384540
     5   0.0261   0.0352   -0.2451   -0.1127   0.4069   0.08384564
     6   0.0134   0.1403   -0.1522   -0.3202   0.2948   0.08384571
     7   0.0086   0.1513   -0.0008   -0.3976   0.1090   0.08384575
     8   0.0067   0.0985   0.1272   -0.3300   -0.0783   0.08384580
     9   0.0013   0.0232   0.1881   -0.1660   -0.2048   0.08384584
    10   -0.0066   -0.0470   0.1736   0.0207   -0.2406   0.08384590
    11   -0.0106   -0.0911   0.1002   0.1613   -0.1920   0.08384596
    12   -0.0129   -0.0927   0.0044   0.2137   -0.0942   0.08384600
    13   -0.0138   -0.0600   -0.0744   0.1759   0.0065   0.08384622
    14   -0.0104   -0.0132   -0.1113   0.0792   0.0718   0.08384631
    15   -0.0066   0.0326   -0.1000   -0.0303   0.0835   0.08384653
    16   -0.0049   0.0589   -0.0514   -0.1082   0.0468   0.08384674
    17   -0.0041   0.0562   0.0086   -0.1294   -0.0151   0.08384695
    18   -0.0052   0.0319   0.0540   -0.0960   -0.0733   0.08384716
    19   -0.0072   -0.0008   0.0693   -0.0317   -0.1059   0.08384739
    20   -0.0089   -0.0273   0.0538   0.0321   -0.1051   0.08384763
    21   -0.0102   -0.0372   0.0197   0.0696   -0.0783   0.08384766
    22   -0.0111   -0.0302   -0.0154   0.0712   -0.0416   0.08384771
    23   -0.0103   -0.0132   -0.0376   0.0433   -0.0120   0.08384777
    24   -0.0023   0.0065   -0.0405   0.0026   -0.0004   0.08400644
    25   -0.0024   0.0293   -0.0208   -0.0300   -0.0081   0.08471293
    26   -0.0029   0.0285   0.0100   -0.0353   -0.0257   0.08471296
    27   -0.0029   0.0099   0.0300   -0.0137   -0.0388   0.08471300
    28   -0.0011   -0.0107   0.0292   0.0176   -0.0378   0.08471303
    29   -0.0006   -0.0195   0.0132   0.0395   -0.0229   0.08471334
    30   -0.0007   -0.0173   -0.0059   0.0430   -0.0015   0.08471358
    31   -0.0003   -0.0089   -0.0193   0.0296   0.0172   0.08471387
    32   0.0006   0.0015   -0.0229   0.0076   0.0267   0.08471423
    33   0.0013   0.0098   -0.0168   -0.0129   0.0251   0.08471458
    34   0.0018   0.0126   -0.0049   -0.0240   0.0154   0.08471491
    35   0.0020   0.0099   0.0068   -0.0229   0.0031   0.08471518
    36   0.0018   0.0036   0.0137   -0.0121   -0.0059   0.08471522
    37   0.0016   -0.0031   0.0138   0.0022   -0.0084   0.08471546
    38   0.0016   -0.0073   0.0083   0.0136   -0.0042   0.08471580
    39   0.0014   -0.0076   0.0005   0.0180   0.0041   0.08471588
    40   0.0015   -0.0051   -0.0061   0.0150   0.0126   0.08471594
    41   0.0017   -0.0011   -0.0092   0.0070   0.0182   0.08471599
    42   0.0018   0.0025   -0.0084   -0.0021   0.0194   0.08471627
    43   0.0017   0.0044   -0.0047   -0.0088   0.0165   0.08471636
    44   0.0016   0.0042   -0.0002   -0.0112   0.0113   0.08471671
    45   0.0011   0.0024   0.0031   -0.0097   0.0060   0.08471675
    46   0.0004   -0.0000   0.0042   -0.0058   0.0021   0.08472274
    47   0.0003   -0.0021   0.0029   -0.0021   0.0001   0.08472595
    48   0.0003   -0.0020   0.0007   -0.0003   -0.0004   0.08472601
    49   -0.0001   -0.0005   -0.0006   -0.0004   -0.0005   0.08472637
    50   -0.0003   0.0004   -0.0007   -0.0011   -0.0009   0.08472668
    51   -0.0002   0.0006   -0.0002   -0.0015   -0.0016   0.08472710
    52   -0.0001   0.0008   0.0006   -0.0013   -0.0023   0.08472749
    53   -0.0002   0.0005   0.0013   -0.0004   -0.0028   0.08472783
    54   -0.0002   -0.0003   0.0013   0.0010   -0.0026   0.08472793
    55   -0.0001   -0.0008   0.0007   0.0020   -0.0018   0.08472812
    56   -0.0001   -0.0008   -0.0001   0.0024   -0.0007   0.08472831
    57   -0.0001   -0.0005   -0.0008   0.0019   0.0004   0.08472851
    58   -0.0000   -0.0001   -0.0011   0.0009   0.0011   0.08472870
    59   0.0000   0.0003   -0.0010   -0.0001   0.0013   0.08472890
    60   0.0001   0.0005   -0.0005   -0.0009   0.0010   0.08472912
    61   0.0001   0.0005   0.0000   -0.0012   0.0005   0.08472924
    62   0.0001   0.0003   0.0005   -0.0009   -0.0001   0.08472946
