
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.0728   0.1266   0.2427   0.1846   0.07979040
     3   0.0267   -0.1460   -0.1142   0.2613   0.3208   0.07979043
     4   0.0198   -0.0621   -0.3411   0.0195   0.4006   0.07979067
     5   0.0024   0.0749   -0.3310   -0.3398   0.3201   0.07979070
     6   0.0008   0.1518   -0.0944   -0.5655   0.0838   0.09232949
     7   0.0032   0.1452   0.2183   -0.5024   -0.1963   0.09232955
     8   0.0075   0.0557   0.4316   -0.1624   -0.3715   0.09232978
     9   0.0078   -0.0701   0.4191   0.2841   -0.3405   0.09232982
    10   0.0017   -0.1670   0.1709   0.5955   -0.1102   0.11623812
    11   0.0006   -0.1806   -0.1965   0.5850   0.2004   0.11623815
    12   -0.0065   -0.0823   -0.4759   0.2323   0.4165   0.11623847
    13   -0.0091   0.0653   -0.4970   -0.2790   0.4057   0.11623875
    14   -0.0022   0.1851   -0.2353   -0.6654   0.1586   0.14422967
    15   -0.0010   0.2138   0.1863   -0.6947   -0.1992   0.15111169
    16   0.0070   0.1105   0.5307   -0.3189   -0.4671   0.15111194
    17   0.0107   -0.0594   0.5882   0.2692   -0.4820   0.15111219
    18   0.0027   -0.2055   0.3117   0.7437   -0.2171   0.18021573
    19   0.0014   -0.2521   -0.1717   0.8216   0.1946   0.20205909
    20   -0.0075   -0.1435   -0.5916   0.4218   0.5231   0.20205915
    21   -0.0126   0.0514   -0.6929   -0.2533   0.5695   0.20205921
    22   -0.0033   0.2280   -0.4018   -0.8304   0.2864   0.22637196
    23   -0.0018   0.2958   0.1515   -0.9670   -0.1863   0.27080824
    24   0.0082   0.1823   0.6588   -0.5427   -0.5851   0.27080835
    25   0.0147   -0.0409   0.8126   0.2306   -0.6696   0.27080871
    26   0.0040   -0.2527   0.5071   0.9261   -0.3676   0.28552613
    27   0.0024   -0.3458   -0.1249   1.1329   0.1737   0.36300466
    28   -0.0089   -0.2274   -0.7329   0.6841   0.6536   0.36300519
    29   -0.0171   0.0276   -0.9490   -0.1999   0.7838   0.36300526
    30   -0.0070   0.2799   -0.6297   -1.0317   0.4625   0.36300533
    31   -0.0030   0.4000   0.0876   -1.3230   -0.1564   0.48880059
    32   0.0087   0.2812   0.8099   -0.8543   -0.7311   0.48880065
    33   0.0188   -0.0082   1.1040   0.1515   -0.9193   0.48880101
    34   0.0138   -0.3075   0.7770   1.1424   -0.5821   0.48880105
    35   0.0037   -0.4557   -0.0266   1.5426   0.1230   0.66129638
    36   -0.0070   -0.3478   -0.8783   1.0720   0.8125   0.66129668
    37   -0.0189   -0.0247   -1.2782   -0.0606   1.0823   0.66129691
    38   -0.0186   0.3300   -0.9632   -1.2411   0.7436   0.66129740
    39   -0.0041   0.5196   -0.0700   -1.7897   -0.0517   0.87898137
    40   0.0064   0.4282   0.9338   -1.3425   -0.8770   0.87898168
    41   0.0204   0.0718   1.4691   -0.0810   -1.2555   0.87898202
    42   0.0231   -0.3455   1.1888   1.3183   -0.9344   0.87898232
    43   0.0049   -0.5908   0.2057   2.0569   -0.0492   1.15789395
    44   -0.0050   -0.5242   -0.9745   1.6614   0.9300   1.15789489
    45   -0.0227   -0.1331   -1.6764   0.2701   1.4425   1.15789512
    46   -0.0281   0.3543   -1.4530   -1.3767   1.1565   1.15789548
    47   -0.0060   0.6680   -0.3807   -2.3465   0.1806   1.51398414
    48   0.0028   0.6361   0.9989   -2.0321   -0.9722   1.51398446
    49   0.0254   0.2097   1.9003   -0.5107   -1.6459   1.51398468
    50   0.0334   -0.3553   1.7584   1.4138   -1.4143   1.51398492
    51   0.0074   -0.7510   0.5994   2.6595   -0.3472   1.96411746
    52   0.0003   -0.7648   -1.0035   2.4599   1.0001   1.96411774
    53   -0.0285   -0.3037   -2.1403   0.8103   1.8656   1.96411870
    54   -0.0391   0.3467   -2.1086   -1.4237   1.7111   1.96411908
    55   -0.0091   0.8392   -0.8677   -2.9949   0.5542   2.52779398
    56   -0.0037   0.9117   0.9831   -2.9496   -1.0098   2.52779434
    57   0.0320   0.4182   2.3964   -1.1767   -2.1010   2.52779617
    58   0.0457   -0.3270   2.5084   1.4013   -2.0497   2.52779691
    59   0.0111   -0.9327   1.1920   3.3536   -0.8057   3.23431497
    60   0.0048   -1.0790   -0.9337   3.5076   0.9992   3.41751695
    61   -0.0351   -0.5594   -2.6737   1.6164   2.3535   3.41751756
    62   -0.0542   0.2970   -2.9686   -1.3490   2.4329   3.41751817
