
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0155   -0.1379   0.0753   0.2078   0.1780   0.06058574
     3   0.0157   -0.2070   -0.1132   0.1947   0.2866   0.06697008
     4   0.0261   -0.0915   -0.2754   -0.0093   0.3399   0.06697032
     5   -0.0034   0.1254   -0.2581   -0.2944   0.2632   0.06697035
     6   -0.0044   0.2259   -0.0746   -0.4692   0.0646   0.07472874
     7   -0.0049   0.2109   0.1541   -0.4282   -0.1694   0.07819986
     8   -0.0091   0.0872   0.3101   -0.1857   -0.3294   0.07819990
     9   -0.0012   -0.0842   0.3109   0.1392   -0.3410   0.07820013
    10   0.0048   -0.1949   0.1650   0.3865   -0.2035   0.07820017
    11   0.0043   -0.2046   -0.0426   0.4485   0.0140   0.07820021
    12   0.0045   -0.1284   -0.2153   0.3131   0.2116   0.07820024
    13   0.0056   -0.0021   -0.2824   0.0537   0.3061   0.07820029
    14   0.0015   0.1181   -0.2212   -0.2082   0.2649   0.07820033
    15   -0.0013   0.1723   -0.0700   -0.3584   0.1169   0.07820037
    16   -0.0014   0.1473   0.0956   -0.3435   -0.0655   0.07820040
    17   -0.0036   0.0651   0.2053   -0.1861   -0.2025   0.07820081
    18   -0.0051   -0.0396   0.2175   0.0341   -0.2410   0.07820086
    19   -0.0020   -0.1191   0.1340   0.2165   -0.1748   0.07820090
    20   -0.0011   -0.1345   0.0021   0.2859   -0.0437   0.07820113
    21   0.0002   -0.0919   -0.1151   0.2258   0.0891   0.07820137
    22   0.0030   -0.0149   -0.1697   0.0769   0.1671   0.07820141
    23   0.0026   0.0623   -0.1440   -0.0865   0.1636   0.07820146
    24   0.0020   0.1012   -0.0583   -0.1909   0.0907   0.07820150
    25   0.0009   0.0907   0.0414   -0.1984   -0.0108   0.07820192
    26   -0.0000   0.0421   0.1098   -0.1187   -0.0930   0.07820197
    27   -0.0005   -0.0184   0.1213   0.0019   -0.1227   0.07820201
    28   -0.0005   -0.0628   0.0784   0.1055   -0.0940   0.07820206
    29   0.0001   -0.0739   0.0071   0.1491   -0.0273   0.07820210
    30   0.0007   -0.0513   -0.0578   0.1219   0.0431   0.07820214
    31   0.0012   -0.0094   -0.0888   0.0450   0.0861   0.07820219
    32   0.0013   0.0310   -0.0770   -0.0413   0.0866   0.07820223
    33   0.0010   0.0525   -0.0332   -0.0982   0.0499   0.07820228
    34   0.0005   0.0483   0.0192   -0.1048   -0.0031   0.07820232
    35   -0.0000   0.0236   0.0563   -0.0650   -0.0471   0.07820237
    36   -0.0003   -0.0081   0.0639   -0.0022   -0.0642   0.07820241
    37   -0.0003   -0.0320   0.0426   0.0530   -0.0506   0.07820245
    38   -0.0000   -0.0388   0.0057   0.0778   -0.0164   0.07820250
    39   0.0003   -0.0278   -0.0288   0.0652   0.0209   0.07820254
    40   0.0006   -0.0061   -0.0462   0.0259   0.0444   0.07820259
    41   0.0007   0.0153   -0.0411   -0.0195   0.0458   0.07820263
    42   0.0005   0.0272   -0.0188   -0.0504   0.0273   0.07820268
    43   0.0003   0.0257   0.0088   -0.0553   -0.0003   0.07820272
    44   -0.0000   0.0132   0.0288   -0.0355   -0.0238   0.07820276
    45   -0.0002   -0.0034   0.0336   -0.0029   -0.0336   0.07820281
    46   -0.0002   -0.0163   0.0231   0.0266   -0.0272   0.07820285
    47   -0.0000   -0.0204   0.0040   0.0405   -0.0096   0.07820290
    48   0.0002   -0.0150   -0.0143   0.0349   0.0100   0.07820294
    49   0.0003   -0.0038   -0.0240   0.0148   0.0228   0.07820299
    50   0.0003   0.0075   -0.0219   -0.0091   0.0242   0.07820303
    51   0.0003   0.0141   -0.0105   -0.0259   0.0149   0.07820307
    52   0.0001   0.0136   0.0039   -0.0291   0.0006   0.07820312
    53   -0.0000   0.0073   0.0147   -0.0193   -0.0120   0.07820316
    54   -0.0001   -0.0014   0.0177   -0.0024   -0.0175   0.07820321
    55   -0.0001   -0.0083   0.0125   0.0133   -0.0146   0.07820325
    56   -0.0000   -0.0107   0.0026   0.0211   -0.0056   0.07820330
    57   0.0001   -0.0081   -0.0071   0.0186   0.0047   0.07820334
    58   0.0002   -0.0023   -0.0124   0.0084   0.0117   0.07820338
    59   0.0002   0.0037   -0.0116   -0.0042   0.0127   0.07820343
    60   0.0001   0.0073   -0.0059   -0.0132   0.0081   0.07820347
    61   0.0001   0.0072   0.0017   -0.0153   0.0007   0.07820352
    62   -0.0000   0.0040   0.0075   -0.0105   -0.0060   0.07820356
