
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0136   -0.0649   0.1155   0.2217   0.1798   0.07008194
     3   0.0176   -0.1440   0.0034   0.2877   0.3119   0.10315903
     4   0.0303   -0.1213   -0.1364   0.2192   0.4445   0.10315906
     5   0.0364   -0.0180   -0.2077   0.0385   0.5119   0.10315909
     6   0.0302   0.0824   -0.1716   -0.1596   0.4801   0.10315938
     7   0.0254   0.1134   -0.0687   -0.2823   0.3653   0.10315943
     8   0.0163   0.0849   0.0334   -0.2975   0.2160   0.10315945
     9   0.0101   0.0247   0.0874   -0.2320   0.0814   0.10563046
    10   0.0066   -0.0225   0.0853   -0.1418   -0.0119   0.10719737
    11   0.0022   -0.0348   0.0532   -0.0715   -0.0639   0.10725571
    12   -0.0027   -0.0223   0.0226   -0.0347   -0.0891   0.10725580
    13   -0.0039   -0.0044   0.0086   -0.0206   -0.1024   0.10737157
    14   -0.0050   0.0096   0.0119   -0.0115   -0.1106   0.10753665
    15   -0.0095   0.0108   0.0231   0.0059   -0.1124   0.10753669
    16   -0.0072   -0.0046   0.0263   0.0319   -0.1031   0.10753672
    17   -0.0050   -0.0137   0.0168   0.0542   -0.0812   0.10753675
    18   -0.0026   -0.0143   0.0025   0.0639   -0.0511   0.10765682
    19   -0.0019   -0.0085   -0.0089   0.0603   -0.0196   0.10782806
    20   -0.0009   -0.0035   -0.0146   0.0481   0.0078   0.10803462
    21   0.0001   -0.0003   -0.0162   0.0325   0.0280   0.10814821
    22   0.0012   0.0014   -0.0154   0.0166   0.0403   0.10814824
    23   0.0026   0.0026   -0.0132   0.0022   0.0449   0.10814828
    24   0.0028   0.0044   -0.0095   -0.0093   0.0429   0.10814833
    25   0.0023   0.0047   -0.0048   -0.0165   0.0363   0.10814837
    26   0.0014   0.0032   -0.0009   -0.0192   0.0272   0.10814988
    27   0.0017   0.0009   0.0010   -0.0189   0.0176   0.10814992
    28   0.0008   0.0010   0.0018   -0.0175   0.0084   0.10817436
    29   0.0004   0.0008   0.0026   -0.0152   0.0002   0.10819634
    30   -0.0000   0.0009   0.0035   -0.0122   -0.0067   0.10821757
    31   -0.0003   0.0008   0.0043   -0.0083   -0.0118   0.10822732
    32   -0.0008   0.0003   0.0049   -0.0037   -0.0149   0.10822737
    33   -0.0010   -0.0009   0.0045   0.0011   -0.0155   0.10822741
    34   -0.0009   -0.0019   0.0030   0.0049   -0.0139   0.10822745
    35   -0.0007   -0.0019   0.0011   0.0070   -0.0109   0.10822748
    36   -0.0005   -0.0011   -0.0004   0.0073   -0.0073   0.10822874
    37   -0.0004   -0.0003   -0.0011   0.0064   -0.0038   0.10823019
    38   -0.0002   0.0000   -0.0011   0.0053   -0.0009   0.10823242
    39   -0.0000   -0.0001   -0.0011   0.0042   0.0015   0.10823466
    40   0.0001   -0.0002   -0.0012   0.0031   0.0034   0.10823621
    41   0.0002   -0.0002   -0.0014   0.0018   0.0046   0.10823668
    42   0.0003   0.0001   -0.0014   0.0003   0.0051   0.10823672
    43   0.0003   0.0004   -0.0012   -0.0010   0.0049   0.10823676
    44   0.0003   0.0006   -0.0007   -0.0020   0.0041   0.10823701
    45   0.0002   0.0005   -0.0001   -0.0024   0.0030   0.10823738
    46   0.0002   0.0003   0.0003   -0.0023   0.0018   0.10823796
    47   0.0002   0.0001   0.0005   -0.0019   0.0008   0.10823854
    48   0.0001   0.0000   0.0006   -0.0013   -0.0000   0.10823896
    49   0.0000   -0.0000   0.0005   -0.0008   -0.0006   0.10823916
    50   -0.0000   -0.0001   0.0005   -0.0003   -0.0008   0.10823935
    51   -0.0001   -0.0002   0.0003   0.0001   -0.0009   0.10823954
    52   -0.0001   -0.0002   0.0001   0.0003   -0.0008   0.10823973
    53   -0.0001   -0.0002   -0.0001   0.0002   -0.0006   0.10823992
    54   -0.0001   -0.0000   -0.0002   0.0000   -0.0006   0.10824011
    55   -0.0001   0.0001   -0.0002   -0.0002   -0.0006   0.10824045
    56   -0.0001   0.0001   -0.0001   -0.0003   -0.0007   0.10824084
    57   -0.0001   0.0001   0.0001   -0.0003   -0.0009   0.10824121
    58   -0.0001   0.0001   0.0002   -0.0002   -0.0011   0.10824146
    59   -0.0001   0.0000   0.0002   -0.0001   -0.0011   0.10824165
    60   -0.0001   -0.0001   0.0002   0.0001   -0.0011   0.10824186
    61   -0.0001   -0.0001   0.0001   0.0002   -0.0010   0.10824209
    62   -0.0001   -0.0001   0.0000   0.0003   -0.0009   0.10824233
