
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0139   -0.0766   0.1092   0.2195   0.1795   0.06765423
     3   0.0174   -0.1569   -0.0163   0.2727   0.3079   0.09433428
     4   0.0355   -0.1235   -0.1646   0.1794   0.4272   0.09433440
     5   0.0333   0.0045   -0.2252   -0.0263   0.4680   0.09433443
     6   0.0246   0.1055   -0.1659   -0.2303   0.4013   0.09433471
     7   0.0195   0.1283   -0.0438   -0.3371   0.2543   0.09433478
     8   0.0142   0.0910   0.0686   -0.3215   0.0850   0.09433482
     9   0.0079   0.0283   0.1279   -0.2180   -0.0524   0.09433484
    10   0.0051   -0.0261   0.1262   -0.0864   -0.1284   0.09433488
    11   -0.0019   -0.0481   0.0858   0.0214   -0.1429   0.09433492
    12   -0.0084   -0.0490   0.0347   0.0817   -0.1150   0.09433516
    13   -0.0107   -0.0374   -0.0102   0.0930   -0.0694   0.09433553
    14   -0.0089   -0.0172   -0.0380   0.0672   -0.0282   0.09433558
    15   -0.0029   0.0059   -0.0430   0.0247   -0.0050   0.09482000
    16   -0.0024   0.0257   -0.0254   -0.0111   -0.0023   0.09524267
    17   -0.0029   0.0247   0.0014   -0.0230   -0.0120   0.09524271
    18   -0.0020   0.0086   0.0187   -0.0116   -0.0214   0.09524275
    19   -0.0004   -0.0069   0.0193   0.0087   -0.0222   0.09524280
    20   -0.0003   -0.0126   0.0089   0.0232   -0.0137   0.09524304
    21   -0.0005   -0.0110   -0.0034   0.0258   -0.0009   0.09524328
    22   -0.0001   -0.0053   -0.0118   0.0178   0.0103   0.09524352
    23   0.0005   0.0015   -0.0135   0.0046   0.0160   0.09524376
    24   0.0011   0.0064   -0.0092   -0.0072   0.0151   0.09524400
    25   0.0015   0.0076   -0.0018   -0.0128   0.0098   0.09524425
    26   0.0018   0.0054   0.0050   -0.0110   0.0036   0.09524463
    27   0.0020   0.0014   0.0085   -0.0039   -0.0003   0.09524493
    28   0.0021   -0.0022   0.0080   0.0046   -0.0001   0.09524499
    29   0.0015   -0.0042   0.0047   0.0111   0.0040   0.09524503
    30   0.0006   -0.0051   -0.0002   0.0134   0.0103   0.09527109
    31   0.0007   -0.0050   -0.0056   0.0105   0.0165   0.09527301
    32   0.0015   -0.0020   -0.0093   0.0028   0.0200   0.09527305
    33   0.0012   0.0031   -0.0086   -0.0065   0.0190   0.09527335
    34   0.0009   0.0054   -0.0041   -0.0131   0.0139   0.09527339
    35   0.0007   0.0047   0.0011   -0.0145   0.0068   0.09527342
    36   0.0004   0.0023   0.0046   -0.0115   0.0002   0.09527347
    37   0.0003   -0.0004   0.0055   -0.0062   -0.0043   0.09527372
    38   0.0001   -0.0017   0.0043   -0.0011   -0.0060   0.09527378
    39   -0.0003   -0.0020   0.0023   0.0022   -0.0057   0.09527403
    40   -0.0005   -0.0017   0.0004   0.0036   -0.0042   0.09527436
    41   -0.0004   -0.0011   -0.0010   0.0032   -0.0024   0.09527439
    42   -0.0002   -0.0001   -0.0016   0.0018   -0.0011   0.09527516
    43   -0.0002   0.0007   -0.0012   0.0003   -0.0006   0.09527647
    44   -0.0002   0.0009   -0.0004   -0.0005   -0.0007   0.09527704
    45   -0.0002   0.0005   0.0004   -0.0004   -0.0009   0.09527723
    46   -0.0001   -0.0001   0.0006   0.0001   -0.0010   0.09527742
    47   -0.0001   -0.0004   0.0004   0.0007   -0.0008   0.09527761
    48   -0.0001   -0.0004   -0.0000   0.0008   -0.0004   0.09527780
    49   -0.0001   -0.0003   -0.0003   0.0007   -0.0000   0.09527799
    50   -0.0001   -0.0000   -0.0005   0.0002   0.0002   0.09527818
    51   -0.0001   0.0001   -0.0004   -0.0002   0.0002   0.09527837
    52   -0.0001   0.0003   -0.0002   -0.0006   -0.0000   0.09527857
    53   -0.0001   0.0002   0.0000   -0.0007   -0.0003   0.09527876
    54   -0.0001   0.0001   0.0002   -0.0006   -0.0007   0.09527896
    55   -0.0001   0.0000   0.0003   -0.0003   -0.0009   0.09527915
    56   -0.0001   -0.0001   0.0002   -0.0001   -0.0010   0.09527934
    57   -0.0001   -0.0001   0.0001   0.0001   -0.0010   0.09527953
    58   -0.0001   -0.0001   -0.0000   0.0001   -0.0009   0.09527972
    59   -0.0001   -0.0000   -0.0000   0.0001   -0.0009   0.09527996
    60   -0.0001   0.0000   -0.0000   0.0001   -0.0008   0.09528024
    61   -0.0001   0.0000   0.0000   0.0001   -0.0008   0.09528050
    62   -0.0001   0.0000   0.0001   0.0001   -0.0008   0.09528071
