
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0144   -0.0920   0.1038   0.2346   0.1835   0.07091724
     3   0.0280   -0.1505   -0.1671   0.2128   0.3069   0.07091731
     4   0.0074   -0.0262   -0.3627   -0.0731   0.3501   0.07091754
     5   -0.0039   0.1109   -0.2775   -0.4165   0.2242   0.07091757
     6   -0.0006   0.1720   0.0211   -0.5550   -0.0313   0.08784959
     7   0.0075   0.1259   0.3392   -0.3671   -0.2752   0.08784962
     8   0.0141   -0.0046   0.4722   0.0606   -0.3575   0.08784986
     9   0.0041   -0.1423   0.3201   0.4800   -0.2160   0.09787354
    10   0.0020   -0.2130   -0.0583   0.6229   0.0757   0.11901364
    11   -0.0104   -0.1351   -0.4314   0.3649   0.3384   0.11901392
    12   -0.0181   0.0313   -0.5465   -0.1521   0.3965   0.11901422
    13   -0.0051   0.1869   -0.3186   -0.6110   0.1961   0.15090256
    14   -0.0021   0.2476   0.1452   -0.7080   -0.1532   0.16149221
    15   0.0136   0.1320   0.5528   -0.3395   -0.4323   0.16149246
    16   0.0195   -0.0700   0.6246   0.2834   -0.4494   0.16149284
    17   0.0056   -0.2415   0.2975   0.7734   -0.1714   0.22336740
    18   0.0020   -0.2811   -0.2609   0.7984   0.2451   0.22336743
    19   -0.0185   -0.1189   -0.6911   0.2951   0.5367   0.22336750
    20   -0.0203   0.1174   -0.6998   -0.4402   0.5008   0.22336753
    21   -0.0058   0.3017   -0.2581   -0.9504   0.1346   0.31784274
    22   0.0010   0.3122   0.3981   -0.8822   -0.3513   0.31784278
    23   0.0242   0.1005   0.8429   -0.2260   -0.6471   0.31784319
    24   0.0215   -0.1748   0.7723   0.6281   -0.5436   0.31784324
    25   0.0062   -0.3699   0.1964   1.1455   -0.0760   0.44587329
    26   -0.0052   -0.3421   -0.5652   0.9564   0.4816   0.44587361
    27   -0.0304   -0.0728   -1.0141   0.1213   0.7701   0.44587369
    28   -0.0202   0.2462   -0.8392   -0.8592   0.5783   0.44587373
    29   -0.0065   0.4505   -0.1001   -1.3634   -0.0085   0.61377487
    30   0.0118   0.3670   0.7752   -1.0118   -0.6392   0.61377550
    31   0.0380   0.0286   1.2056   0.0357   -0.9015   0.61377585
    32   0.0115   -0.3366   0.8889   1.1446   -0.5931   0.64288955
    33   0.0066   -0.5495   -0.0552   1.5975   0.1322   0.82266111
    34   -0.0232   -0.3771   -1.0483   1.0167   0.8277   0.82266147
    35   -0.0477   0.0461   -1.4122   -0.2850   1.0261   0.82266170
    36   -0.0137   0.4562   -0.8892   -1.5050   0.5567   0.98924903
    37   -0.0065   0.6423   0.2831   -1.8396   -0.3290   1.11285047
    38   0.0325   0.3716   1.3716   -0.9666   -1.0765   1.11285075
    39   0.0525   -0.1447   1.6278   0.6202   -1.1740   1.11285099
    40   0.0149   -0.5990   0.8483   1.9350   -0.5024   1.47431211
    41   0.0060   -0.7356   -0.5771   2.0938   0.5650   1.47431244
    42   -0.0446   -0.3452   -1.7388   0.8700   1.3550   1.47431268
    43   -0.0540   0.2660   -1.8410   -1.0230   1.3212   1.47431302
    44   -0.0157   0.7605   -0.7600   -2.4071   0.4182   2.10897206
    45   -0.0010   0.8232   0.9323   -2.3317   -0.8379   2.10897239
    46   0.0602   0.2984   2.1399   -0.7070   -1.6486   2.10897300
    47   0.0582   -0.4122   2.0403   1.5030   -1.4456   2.10897345
    48   0.0166   -0.9363   0.6162   2.9199   -0.2799   2.96548963
    49   -0.0090   -0.9066   -1.3547   2.5459   1.1697   2.96549000
    50   -0.0761   -0.2343   -2.5871   0.4615   1.9737   2.96549035
    51   -0.0583   0.5917   -2.2319   -2.0875   1.5524   2.96549080
    52   -0.0175   1.1424   -0.3951   -3.4941   0.0796   4.10567265
    53   0.0241   0.9824   1.8792   -2.7252   -1.5712   4.10567307
    54   0.0952   0.1343   3.0910   -0.0970   -2.3280   4.10567378
    55   0.0296   -0.8166   2.3937   2.8059   -1.6216   4.10855147
    56   0.0180   -1.4096   0.0229   4.1146   0.2085   5.47845018
    57   -0.0553   -1.0188   -2.5784   2.7710   2.0397   5.47845044
    58   -0.1240   0.0510   -3.6371   -0.5173   2.6481   5.47845058
    59   -0.0359   1.1215   -2.4196   -3.7265   1.5360   6.35921526
    60   -0.0183   1.6570   0.5450   -4.7545   -0.7093   7.44296119
    61   0.0787   1.0162   3.4137   -2.6671   -2.6859   7.44296278
    62   0.1386   -0.2994   4.2136   1.3686   -3.0445   7.44296290
