
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0157   -0.1423   0.0738   0.2074   0.1780   0.06067962
     3   0.0157   -0.2153   -0.1217   0.1896   0.2855   0.06769127
     4   0.0236   -0.0930   -0.2899   -0.0266   0.3334   0.06769150
     5   -0.0078   0.1367   -0.2685   -0.3252   0.2445   0.06769154
     6   -0.0063   0.2478   -0.0679   -0.5028   0.0291   0.09128480
     7   -0.0068   0.2351   0.1856   -0.4428   -0.2180   0.09224314
     8   -0.0116   0.0926   0.3580   -0.1591   -0.3757   0.09224338
     9   0.0027   -0.1114   0.3481   0.2112   -0.3623   0.09224341
    10   0.0084   -0.2370   0.1668   0.4792   -0.1821   0.09224348
    11   0.0041   -0.2459   -0.0843   0.5212   0.0786   0.09658764
    12   0.0084   -0.1513   -0.2913   0.3254   0.2989   0.09658767
    13   0.0047   0.0209   -0.3591   -0.0142   0.3796   0.09658799
    14   -0.0048   0.1741   -0.2573   -0.3353   0.2879   0.09658822
    15   -0.0063   0.2323   -0.0463   -0.4920   0.0723   0.09658827
    16   -0.0063   0.1899   0.1727   -0.4252   -0.1662   0.09658833
    17   -0.0075   0.0678   0.3064   -0.1754   -0.3220   0.09658856
    18   -0.0030   -0.0830   0.2982   0.1396   -0.3306   0.09658886
    19   0.0039   -0.1863   0.1581   0.3764   -0.1957   0.09658909
    20   0.0049   -0.1978   -0.0410   0.4359   0.0157   0.09658937
    21   0.0059   -0.1278   -0.2097   0.3046   0.2079   0.09658941
    22   0.0071   -0.0059   -0.2788   0.0502   0.2995   0.09658968
    23   0.0015   0.1155   -0.2213   -0.2100   0.2571   0.09658992
    24   -0.0028   0.1734   -0.0712   -0.3612   0.1080   0.09658996
    25   -0.0036   0.1519   0.0972   -0.3464   -0.0760   0.09659000
    26   -0.0060   0.0699   0.2118   -0.1850   -0.2136   0.09659004
    27   -0.0064   -0.0396   0.2269   0.0436   -0.2496   0.09659030
    28   -0.0010   -0.1252   0.1407   0.2345   -0.1764   0.09659034
    29   0.0011   -0.1438   0.0010   0.3069   -0.0352   0.09659058
    30   0.0029   -0.1007   -0.1254   0.2411   0.1071   0.09659081
    31   0.0059   -0.0185   -0.1865   0.0783   0.1895   0.09659105
    32   0.0040   0.0679   -0.1599   -0.1022   0.1824   0.09659129
    33   0.0017   0.1132   -0.0654   -0.2186   0.0983   0.09659173
    34   -0.0005   0.1036   0.0471   -0.2269   -0.0178   0.09659217
    35   -0.0019   0.0499   0.1262   -0.1358   -0.1118   0.09659262
    36   -0.0020   -0.0193   0.1412   0.0037   -0.1455   0.09659286
    37   -0.0010   -0.0721   0.0932   0.1253   -0.1112   0.09659310
    38   0.0005   -0.0875   0.0101   0.1782   -0.0318   0.09659354
    39   0.0019   -0.0630   -0.0678   0.1473   0.0528   0.09659399
    40   0.0024   -0.0139   -0.1072   0.0558   0.1053   0.09659422
    41   0.0020   0.0355   -0.0954   -0.0497   0.1063   0.09659446
    42   0.0009   0.0639   -0.0434   -0.1214   0.0613   0.09659470
    43   -0.0004   0.0611   0.0215   -0.1322   -0.0048   0.09659515
    44   -0.0012   0.0321   0.0695   -0.0842   -0.0609   0.09659538
    45   -0.0013   -0.0075   0.0818   -0.0052   -0.0838   0.09659562
    46   -0.0008   -0.0393   0.0571   0.0669   -0.0673   0.09659586
    47   0.0001   -0.0503   0.0104   0.1015   -0.0233   0.09659609
    48   0.0009   -0.0382   -0.0355   0.0879   0.0260   0.09659633
    49   0.0013   -0.0108   -0.0606   0.0376   0.0585   0.09659657
    50   0.0011   0.0181   -0.0564   -0.0233   0.0619   0.09659681
    51   0.0005   0.0358   -0.0282   -0.0671   0.0381   0.09659704
    52   -0.0002   0.0359   0.0091   -0.0767   0.0006   0.09659728
    53   -0.0007   0.0203   0.0381   -0.0518   -0.0328   0.09659752
    54   -0.0008   -0.0023   0.0472   -0.0073   -0.0479   0.09659776
    55   -0.0005   -0.0213   0.0347   0.0353   -0.0404   0.09659799
    56   -0.0000   -0.0289   0.0086   0.0576   -0.0161   0.09659823
    57   0.0005   -0.0230   -0.0183   0.0522   0.0125   0.09659847
    58   0.0007   -0.0078   -0.0341   0.0247   0.0324   0.09659870
    59   0.0006   0.0090   -0.0332   -0.0103   0.0359   0.09659894
    60   0.0003   0.0200   -0.0180   -0.0369   0.0235   0.09659918
    61   -0.0001   0.0210   0.0033   -0.0443   0.0023   0.09659942
    62   -0.0004   0.0127   0.0207   -0.0316   -0.0174   0.09659965
