
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0136   -0.0647   0.1157   0.2217   0.1798   0.07014899
     3   0.0177   -0.1444   0.0035   0.2880   0.3120   0.10326843
     4   0.0304   -0.1222   -0.1369   0.2194   0.4448   0.10326845
     5   0.0366   -0.0187   -0.2090   0.0378   0.5121   0.10326849
     6   0.0303   0.0825   -0.1733   -0.1619   0.4795   0.10326852
     7   0.0254   0.1143   -0.0698   -0.2860   0.3632   0.10326858
     8   0.0166   0.0861   0.0334   -0.3018   0.2119   0.10326860
     9   0.0099   0.0263   0.0889   -0.2357   0.0752   0.10587439
    10   0.0064   -0.0221   0.0877   -0.1433   -0.0194   0.10748207
    11   0.0020   -0.0353   0.0556   -0.0705   -0.0715   0.10755262
    12   -0.0032   -0.0232   0.0243   -0.0316   -0.0957   0.10755266
    13   -0.0041   -0.0056   0.0093   -0.0164   -0.1071   0.10756770
    14   -0.0052   0.0091   0.0117   -0.0071   -0.1131   0.10764372
    15   -0.0097   0.0106   0.0225   0.0099   -0.1128   0.10764375
    16   -0.0071   -0.0048   0.0256   0.0353   -0.1017   0.10764379
    17   -0.0048   -0.0137   0.0160   0.0568   -0.0782   0.10764381
    18   -0.0025   -0.0141   0.0018   0.0657   -0.0470   0.10779808
    19   -0.0017   -0.0087   -0.0095   0.0614   -0.0148   0.10801884
    20   -0.0007   -0.0038   -0.0155   0.0485   0.0130   0.10824705
    21   0.0003   -0.0005   -0.0173   0.0318   0.0331   0.10835092
    22   0.0017   0.0015   -0.0166   0.0147   0.0447   0.10835096
    23   0.0029   0.0036   -0.0138   -0.0007   0.0481   0.10835099
    24   0.0029   0.0053   -0.0092   -0.0124   0.0446   0.10835104
    25   0.0023   0.0050   -0.0039   -0.0189   0.0366   0.10835108
    26   0.0015   0.0029   -0.0000   -0.0207   0.0265   0.10835561
    27   0.0015   0.0006   0.0015   -0.0198   0.0163   0.10835565
    28   0.0007   0.0006   0.0019   -0.0181   0.0068   0.10837916
    29   0.0003   0.0009   0.0026   -0.0159   -0.0017   0.10840774
    30   -0.0001   0.0013   0.0036   -0.0129   -0.0089   0.10843475
    31   -0.0004   0.0012   0.0049   -0.0086   -0.0144   0.10844417
    32   -0.0010   0.0004   0.0057   -0.0032   -0.0173   0.10844420
    33   -0.0011   -0.0014   0.0051   0.0023   -0.0175   0.10844425
    34   -0.0010   -0.0024   0.0032   0.0066   -0.0152   0.10844429
    35   -0.0007   -0.0022   0.0008   0.0085   -0.0113   0.10844432
    36   -0.0005   -0.0011   -0.0009   0.0084   -0.0070   0.10844621
    37   -0.0004   -0.0002   -0.0015   0.0072   -0.0031   0.10844885
    38   -0.0002   0.0001   -0.0014   0.0057   0.0001   0.10845187
    39   -0.0000   -0.0000   -0.0013   0.0043   0.0026   0.10845449
    40   0.0001   -0.0002   -0.0014   0.0030   0.0044   0.10845607
    41   0.0003   -0.0002   -0.0016   0.0015   0.0055   0.10845630
    42   0.0004   0.0001   -0.0016   -0.0001   0.0059   0.10845635
    43   0.0004   0.0005   -0.0012   -0.0016   0.0054   0.10845640
    44   0.0003   0.0007   -0.0006   -0.0025   0.0044   0.10845665
    45   0.0002   0.0005   -0.0000   -0.0028   0.0030   0.10845716
    46   0.0002   0.0003   0.0004   -0.0026   0.0016   0.10845791
    47   0.0001   0.0001   0.0006   -0.0021   0.0004   0.10845857
    48   0.0001   0.0000   0.0007   -0.0014   -0.0005   0.10845905
    49   -0.0000   -0.0001   0.0006   -0.0008   -0.0010   0.10845924
    50   -0.0001   -0.0002   0.0005   -0.0002   -0.0012   0.10845943
    51   -0.0001   -0.0003   0.0003   0.0002   -0.0012   0.10845962
    52   -0.0001   -0.0002   0.0000   0.0003   -0.0011   0.10845981
    53   -0.0001   -0.0001   -0.0002   0.0003   -0.0009   0.10846000
    54   -0.0001   0.0000   -0.0002   0.0001   -0.0008   0.10846036
    55   -0.0001   0.0001   -0.0001   -0.0001   -0.0008   0.10846075
    56   -0.0001   0.0001   0.0000   -0.0001   -0.0009   0.10846110
    57   -0.0001   0.0000   0.0001   -0.0001   -0.0010   0.10846136
    58   -0.0001   -0.0000   0.0001   0.0000   -0.0010   0.10846159
    59   -0.0001   -0.0001   0.0001   0.0001   -0.0009   0.10846181
    60   -0.0001   -0.0001   0.0000   0.0002   -0.0008   0.10846204
    61   -0.0001   -0.0000   -0.0000   0.0002   -0.0007   0.10846228
    62   -0.0001   -0.0000   -0.0001   0.0001   -0.0007   0.10846252
