
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0143   -0.0859   0.1041   0.1589   0.1646   0.05066202
     3   0.0161   -0.1698   -0.0328   0.1802   0.2523   0.06165093
     4   0.0273   -0.1401   -0.1962   0.1217   0.3312   0.06165099
     5   0.0170   -0.0207   -0.2789   -0.0021   0.3629   0.06165130
     6   0.0079   0.0766   -0.2489   -0.1381   0.3272   0.06165157
     7   0.0066   0.1201   -0.1471   -0.2390   0.2308   0.06165164
     8   0.0074   0.1221   -0.0231   -0.2816   0.0980   0.06165170
     9   0.0059   0.0975   0.0884   -0.2642   -0.0408   0.06165175
    10   0.0016   0.0574   0.1663   -0.1989   -0.1582   0.06165180
    11   -0.0038   0.0119   0.2000   -0.1054   -0.2350   0.06165185
    12   -0.0089   -0.0282   0.1902   -0.0062   -0.2626   0.06165191
    13   -0.0133   -0.0557   0.1462   0.0790   -0.2435   0.06165197
    14   -0.0159   -0.0681   0.0824   0.1367   -0.1882   0.06165201
    15   -0.0164   -0.0662   0.0139   0.1607   -0.1124   0.06165218
    16   -0.0144   -0.0526   -0.0463   0.1520   -0.0330   0.06165238
    17   -0.0106   -0.0310   -0.0880   0.1176   0.0353   0.06165267
    18   -0.0063   -0.0063   -0.1060   0.0680   0.0821   0.06165271
    19   -0.0024   0.0151   -0.1004   0.0156   0.1028   0.06165308
    20   0.0010   0.0289   -0.0771   -0.0294   0.0989   0.06165345
    21   0.0037   0.0346   -0.0442   -0.0599   0.0759   0.06165382
    22   0.0052   0.0336   -0.0092   -0.0732   0.0419   0.06165416
    23   0.0052   0.0271   0.0217   -0.0698   0.0054   0.06165424
    24   0.0037   0.0162   0.0435   -0.0531   -0.0257   0.06165430
    25   0.0018   0.0030   0.0528   -0.0285   -0.0463   0.06165435
    26   -0.0001   -0.0088   0.0493   -0.0025   -0.0540   0.06165441
    27   -0.0019   -0.0164   0.0360   0.0192   -0.0495   0.06165446
    28   -0.0036   -0.0193   0.0175   0.0327   -0.0362   0.06165452
    29   -0.0042   -0.0180   -0.0017   0.0366   -0.0185   0.06165492
    30   -0.0041   -0.0129   -0.0175   0.0315   -0.0011   0.06165511
    31   -0.0035   -0.0053   -0.0266   0.0202   0.0120   0.06165529
    32   -0.0027   0.0021   -0.0280   0.0062   0.0186   0.06165549
    33   -0.0018   0.0076   -0.0228   -0.0068   0.0184   0.06165573
    34   -0.0010   0.0104   -0.0135   -0.0160   0.0125   0.06165576
    35   -0.0007   0.0102   -0.0028   -0.0200   0.0033   0.06165580
    36   -0.0007   0.0078   0.0064   -0.0190   -0.0067   0.06165584
    37   -0.0011   0.0041   0.0124   -0.0142   -0.0151   0.06165587
    38   -0.0017   0.0001   0.0144   -0.0073   -0.0205   0.06165591
    39   -0.0023   -0.0031   0.0127   -0.0004   -0.0224   0.06165595
    40   -0.0028   -0.0048   0.0085   0.0049   -0.0212   0.06165624
    41   -0.0031   -0.0049   0.0034   0.0079   -0.0179   0.06165648
    42   -0.0029   -0.0039   -0.0011   0.0084   -0.0138   0.06165655
    43   -0.0021   -0.0018   -0.0039   0.0071   -0.0098   0.06165679
    44   -0.0007   0.0008   -0.0043   0.0049   -0.0068   0.06166918
    45   -0.0006   0.0033   -0.0019   0.0033   -0.0048   0.06167262
    46   -0.0006   0.0025   0.0012   0.0032   -0.0032   0.06167266
    47   -0.0000   -0.0005   0.0023   0.0041   -0.0014   0.06167286
    48   0.0002   -0.0021   0.0009   0.0050   0.0009   0.06167289
    49   0.0002   -0.0024   -0.0015   0.0049   0.0034   0.06167487
    50   0.0003   -0.0019   -0.0037   0.0036   0.0056   0.06167490
    51   0.0003   -0.0006   -0.0050   0.0013   0.0068   0.06167494
    52   0.0002   0.0008   -0.0048   -0.0012   0.0068   0.06167497
    53   0.0002   0.0017   -0.0035   -0.0033   0.0057   0.06167501
    54   0.0002   0.0020   -0.0017   -0.0046   0.0037   0.06167530
    55   0.0002   0.0019   0.0003   -0.0049   0.0013   0.06167552
    56   0.0001   0.0014   0.0019   -0.0044   -0.0011   0.06167555
    57   0.0000   0.0007   0.0030   -0.0031   -0.0030   0.06167558
    58   -0.0001   0.0000   0.0034   -0.0015   -0.0041   0.06167579
    59   -0.0002   -0.0005   0.0031   0.0002   -0.0044   0.06167601
    60   -0.0002   -0.0010   0.0023   0.0015   -0.0040   0.06167623
    61   -0.0003   -0.0011   0.0012   0.0024   -0.0030   0.06167645
    62   -0.0003   -0.0011   0.0001   0.0028   -0.0016   0.06167677
