
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0139   -0.0764   0.1095   0.2197   0.1795   0.06774463
     3   0.0175   -0.1582   -0.0165   0.2730   0.3080   0.09442460
     4   0.0358   -0.1258   -0.1667   0.1787   0.4273   0.09442474
     5   0.0335   0.0033   -0.2292   -0.0302   0.4670   0.09442477
     6   0.0242   0.1069   -0.1698   -0.2384   0.3974   0.09442506
     7   0.0186   0.1313   -0.0456   -0.3482   0.2455   0.09442514
     8   0.0132   0.0943   0.0701   -0.3328   0.0704   0.09442517
     9   0.0083   0.0313   0.1325   -0.2262   -0.0719   0.09442520
    10   0.0040   -0.0224   0.1344   -0.0882   -0.1506   0.09442526
    11   -0.0040   -0.0488   0.0957   0.0290   -0.1638   0.09442554
    12   -0.0098   -0.0549   0.0410   0.0978   -0.1298   0.09442588
    13   -0.0117   -0.0442   -0.0105   0.1121   -0.0751   0.09442611
    14   -0.0103   -0.0216   -0.0441   0.0829   -0.0249   0.09442617
    15   -0.0029   0.0039   -0.0523   0.0326   0.0043   0.09461027
    16   -0.0024   0.0287   -0.0340   -0.0127   0.0085   0.09510842
    17   -0.0024   0.0297   -0.0029   -0.0312   -0.0038   0.09510847
    18   -0.0013   0.0135   0.0196   -0.0215   -0.0180   0.09510876
    19   0.0003   -0.0042   0.0240   0.0017   -0.0231   0.09510912
    20   0.0004   -0.0130   0.0148   0.0219   -0.0168   0.09510944
    21   0.0002   -0.0135   0.0009   0.0297   -0.0033   0.09510973
    22   0.0004   -0.0083   -0.0103   0.0246   0.0107   0.09511004
    23   0.0011   -0.0008   -0.0148   0.0114   0.0199   0.09511037
    24   0.0019   0.0055   -0.0121   -0.0026   0.0220   0.09511069
    25   0.0026   0.0082   -0.0048   -0.0113   0.0182   0.09511095
    26   0.0031   0.0070   0.0032   -0.0121   0.0120   0.09511118
    27   0.0028   0.0031   0.0084   -0.0059   0.0072   0.09511122
    28   0.0008   -0.0020   0.0089   0.0032   0.0065   0.09514698
    29   0.0009   -0.0079   0.0035   0.0099   0.0100   0.09521888
    30   0.0014   -0.0075   -0.0047   0.0093   0.0152   0.09521891
    31   0.0015   -0.0020   -0.0096   0.0017   0.0181   0.09521912
    32   0.0009   0.0038   -0.0086   -0.0079   0.0165   0.09521944
    33   0.0007   0.0060   -0.0034   -0.0141   0.0108   0.09521948
    34   0.0006   0.0049   0.0022   -0.0146   0.0034   0.09521954
    35   0.0005   0.0022   0.0058   -0.0104   -0.0030   0.09521958
    36   0.0002   -0.0004   0.0066   -0.0040   -0.0066   0.09521961
    37   -0.0001   -0.0024   0.0051   0.0020   -0.0071   0.09521966
    38   -0.0003   -0.0031   0.0022   0.0057   -0.0050   0.09521970
    39   -0.0004   -0.0026   -0.0008   0.0063   -0.0019   0.09522002
    40   -0.0005   -0.0013   -0.0029   0.0044   0.0009   0.09522017
    41   -0.0003   0.0001   -0.0034   0.0011   0.0023   0.09522040
    42   -0.0002   0.0014   -0.0026   -0.0020   0.0020   0.09522060
    43   -0.0002   0.0018   -0.0010   -0.0039   0.0005   0.09522088
    44   -0.0002   0.0015   0.0007   -0.0040   -0.0016   0.09522109
    45   -0.0002   0.0006   0.0018   -0.0026   -0.0032   0.09522129
    46   -0.0003   -0.0003   0.0020   -0.0006   -0.0041   0.09522156
    47   -0.0003   -0.0008   0.0014   0.0011   -0.0039   0.09522178
    48   -0.0003   -0.0010   0.0004   0.0020   -0.0031   0.09522210
    49   -0.0003   -0.0007   -0.0004   0.0020   -0.0021   0.09522216
    50   -0.0002   -0.0001   -0.0008   0.0014   -0.0012   0.09522266
    51   -0.0002   0.0003   -0.0007   0.0006   -0.0007   0.09522329
    52   -0.0001   0.0004   -0.0003   0.0002   -0.0005   0.09522365
    53   -0.0001   0.0002   0.0001   0.0001   -0.0005   0.09522384
    54   -0.0001   0.0000   0.0002   0.0002   -0.0004   0.09522403
    55   -0.0000   -0.0001   0.0001   0.0004   -0.0003   0.09522422
    56   -0.0000   -0.0002   -0.0000   0.0005   -0.0000   0.09522441
    57   -0.0000   -0.0001   -0.0002   0.0003   0.0002   0.09522460
    58   0.0000   -0.0000   -0.0002   0.0001   0.0003   0.09522479
    59   0.0000   0.0001   -0.0002   -0.0001   0.0003   0.09522499
    60   0.0000   0.0001   -0.0001   -0.0002   0.0002   0.09522521
    61   0.0000   0.0001   0.0001   -0.0002   0.0001   0.09522544
    62   0.0000   0.0001   0.0001   -0.0001   0.0000   0.09522558
