
Chosen beta = variable 
Prediction window size N = 10
     k |    u(1)    x(1)    x(2)    x(3)    x(4)    beta
----------------------------------------------------------------------------------
     1   0.0028   0.1000   0.1000   0.1000   0.1000   0.04348418
     2   0.0142   -0.0879   0.1033   0.2175   0.1793   0.06567654
     3   0.0172   -0.1691   -0.0351   0.2584   0.3041   0.08716665
     4   0.0368   -0.1242   -0.1908   0.1416   0.4106   0.08716668
     5   0.0289   0.0242   -0.2418   -0.0872   0.4264   0.08716691
     6   0.0169   0.1297   -0.1600   -0.2970   0.3269   0.08716699
     7   0.0116   0.1457   -0.0169   -0.3867   0.1499   0.08716705
     8   0.0089   0.0985   0.1083   -0.3370   -0.0362   0.08716709
     9   0.0046   0.0285   0.1717   -0.1912   -0.1709   0.08716716
    10   -0.0040   -0.0349   0.1661   -0.0169   -0.2227   0.08716737
    11   -0.0096   -0.0776   0.1060   0.1227   -0.1937   0.08716771
    12   -0.0125   -0.0847   0.0210   0.1867   -0.1128   0.08716792
    13   -0.0140   -0.0598   -0.0537   0.1683   -0.0209   0.08716803
    14   -0.0124   -0.0200   -0.0942   0.0910   0.0456   0.08716826
    15   -0.0085   0.0199   -0.0931   -0.0059   0.0668   0.08716861
    16   -0.0057   0.0473   -0.0573   -0.0834   0.0430   0.08716884
    17   -0.0040   0.0520   -0.0053   -0.1151   -0.0089   0.08716890
    18   -0.0041   0.0361   0.0404   -0.0963   -0.0636   0.08716894
    19   -0.0054   0.0084   0.0630   -0.0423   -0.0992   0.08716926
    20   -0.0063   -0.0183   0.0571   0.0200   -0.1045   0.08716962
    21   -0.0065   -0.0323   0.0304   0.0649   -0.0821   0.08716990
    22   -0.0065   -0.0305   -0.0022   0.0789   -0.0448   0.08716995
    23   -0.0061   -0.0180   -0.0270   0.0632   -0.0083   0.08717004
    24   -0.0046   -0.0021   -0.0369   0.0299   0.0154   0.08717028
    25   -0.0018   0.0114   -0.0316   -0.0055   0.0213   0.08717032
    26   -0.0007   0.0198   -0.0149   -0.0295   0.0118   0.08733177
    27   -0.0004   0.0179   0.0049   -0.0343   -0.0049   0.08734381
    28   -0.0005   0.0083   0.0184   -0.0219   -0.0195   0.08734385
    29   -0.0005   -0.0030   0.0209   -0.0013   -0.0254   0.08734413
    30   -0.0007   -0.0102   0.0138   0.0166   -0.0213   0.08734420
    31   -0.0009   -0.0114   0.0025   0.0249   -0.0104   0.08734426
    32   -0.0010   -0.0080   -0.0075   0.0221   0.0017   0.08734433
    33   -0.0006   -0.0024   -0.0128   0.0114   0.0103   0.08734439
    34   -0.0001   0.0033   -0.0122   -0.0015   0.0128   0.08734445
    35   0.0002   0.0068   -0.0067   -0.0113   0.0094   0.08734451
    36   0.0004   0.0068   0.0004   -0.0144   0.0026   0.08734457
    37   0.0003   0.0039   0.0060   -0.0110   -0.0039   0.08734462
    38   0.0001   0.0000   0.0079   -0.0037   -0.0077   0.08734468
    39   -0.0002   -0.0031   0.0062   0.0036   -0.0076   0.08734474
    40   -0.0003   -0.0044   0.0022   0.0079   -0.0046   0.08734480
    41   -0.0004   -0.0035   -0.0019   0.0080   -0.0004   0.08734485
    42   -0.0003   -0.0014   -0.0044   0.0047   0.0028   0.08734491
    43   -0.0002   0.0009   -0.0046   -0.0000   0.0040   0.08734497
    44   -0.0001   0.0024   -0.0029   -0.0039   0.0030   0.08734502
    45   -0.0001   0.0025   -0.0003   -0.0055   0.0005   0.08734508
    46   -0.0002   0.0016   0.0018   -0.0047   -0.0021   0.08734513
    47   -0.0003   0.0002   0.0028   -0.0022   -0.0039   0.08734519
    48   -0.0004   -0.0010   0.0023   0.0004   -0.0043   0.08734524
    49   -0.0006   -0.0016   0.0010   0.0022   -0.0036   0.08734530
    50   -0.0007   -0.0014   -0.0006   0.0023   -0.0024   0.08734534
    51   -0.0008   -0.0007   -0.0016   0.0012   -0.0015   0.08734539
    52   -0.0008   0.0002   -0.0019   -0.0007   -0.0013   0.08734580
    53   -0.0009   0.0008   -0.0014   -0.0023   -0.0021   0.08734610
    54   -0.0011   0.0009   -0.0005   -0.0033   -0.0035   0.08734627
    55   -0.0013   0.0007   0.0003   -0.0033   -0.0052   0.08734638
    56   -0.0013   0.0002   0.0007   -0.0028   -0.0068   0.08734659
    57   -0.0012   0.0000   0.0007   -0.0020   -0.0080   0.08734682
    58   -0.0009   0.0003   0.0009   -0.0012   -0.0088   0.08734685
    59   -0.0004   0.0007   0.0015   -0.0001   -0.0092   0.08734726
    60   -0.0008   0.0009   0.0024   0.0018   -0.0088   0.08734729
    61   -0.0005   -0.0007   0.0026   0.0045   -0.0072   0.08734753
    62   -0.0002   -0.0018   0.0014   0.0066   -0.0043   0.08734917
